seed,kappa,method,max_diff
0,10,natgrad,1.478851763270228e-16
0,10,sgd,0.0013912553550133038
0,100,natgrad,5.749632540907879e-14
0,100,sgd,0.01530380890514634
0,1000,natgrad,8.854621517343647e-11
0,1000,sgd,0.1544293444064767
1,10,natgrad,1.2067170179763664e-16
1,10,sgd,0.0014539233507527252
1,100,natgrad,8.532746991612994e-14
1,100,sgd,0.015993156858279973
1,1000,natgrad,7.022257937899096e-11
1,1000,sgd,0.16138549193355242
2,10,natgrad,9.302454639925628e-17
2,10,sgd,0.0012987885529804353
2,100,natgrad,3.4655329821109415e-14
2,100,sgd,0.014286674082784787
2,1000,natgrad,7.834886634871391e-11
2,1000,sgd,0.1441655293808283
