noise_rate,rho,lambda,seed,test_acc,A_naive_mean,A_naive_std,A_naive_final,cos_gval_gref_mean
0.0,1.0,0.5,0,0.7996000051498413,1.0000000137090683,5.708058965031756e-08,0.9999999403953552,1.0000000184774398
0.0,1.0,0.5,1,0.7986999750137329,1.0000000184774398,7.430048307708435e-08,0.9999999403953552,1.0000000274181366
0.0,1.0,0.5,2,0.7986999750137329,1.0000000178813935,6.873942968053102e-08,1.0,1.0000000274181366
0.0,1.0,0.75,0,0.7996000051498413,1.0000000137090683,6.788390761271871e-08,0.9999999403953552,1.0000000232458115
0.0,1.0,0.75,1,0.7986999750137329,1.0000000011920929,6.135515800694357e-08,1.0,1.0000000089406966
0.0,1.0,0.75,2,0.7986999750137329,1.0000000238418578,6.951036327892901e-08,1.0,1.0000000292062758
0.0,1.0,1.0,0,0.7996000051498413,1.0000000143051146,5.724528886577115e-08,0.9999999403953552,1.0000000143051146
0.0,1.0,1.0,1,0.7986999750137329,1.0000000184774398,5.9422572523913996e-08,1.0,1.0000000184774398
0.0,1.0,1.0,2,0.7986999750137329,1.0000000262260438,6.03863007636735e-08,1.0000001192092896,1.0000000262260438
0.3,0.0,0.0,0,0.11599999666213989,-5.908077582716941e-11,1.9413823709157747e-09,-2.3283064365386963e-09,-3.5797711461782455e-11
0.3,0.0,0.0,1,0.11840000003576279,4.773028194904327e-11,1.9904020920566854e-09,3.4924596548080444e-10,3.958120942115784e-11
0.3,0.0,0.0,2,0.09179999679327011,4.0978193283081055e-10,1.9387419176076635e-09,2.3283064365386963e-09,3.803870640695095e-10
0.3,0.0,0.25,0,0.7892000079154968,0.2068170265061781,0.15764956025192187,-0.0640154629945755,8.476490620523691e-11
0.3,0.0,0.25,1,0.7876999974250793,0.21718759389128536,0.13545432645297087,-0.007694286294281483,-6.51925802230835e-11
0.3,0.0,0.25,2,0.7838000059127808,0.2458410362410359,0.10339557729094499,-0.008253057487308979,1.331500243395567e-10
0.3,0.0,0.5,0,0.7953999638557434,0.24823630104307084,0.4183256629780953,-0.03683772683143616,-5.966285243630409e-11
0.3,0.0,0.5,1,0.7972999811172485,0.25453234085813164,0.3951730286494652,-0.010545119643211365,7.120252121239901e-10
0.3,0.0,0.5,2,0.7953999638557434,0.28264698858372866,0.3672029035651065,-0.1081869900226593,3.637978807091713e-11
0.3,0.0,0.75,0,0.7955999970436096,0.3023007325455546,0.5546832260836687,0.1668524444103241,-1.7404090613126756e-10
0.3,0.0,0.75,1,0.7998999953269958,0.3020482252538204,0.5346678621335192,0.15174302458763123,-8.032657206058502e-11
0.3,0.0,0.75,2,0.795799970626831,0.3151540321484208,0.5033124658952113,0.2690073549747467,7.8580342233181e-12
0.3,0.0,1.0,0,0.796999990940094,0.3130313540017232,0.5822575017424012,-0.003360495436936617,-1.4260876923799516e-10
0.3,0.0,1.0,1,0.8000999689102173,0.3096784337144345,0.564886467523617,0.011848672293126583,-1.0550138540565968e-10
0.3,0.0,1.0,2,0.7960999608039856,0.3292318051867187,0.5292956309708967,0.2178393304347992,1.0972144082188606e-10
0.3,0.4,0.0,0,0.799299955368042,0.40000002533197404,3.247632789269592e-08,0.40000009536743164,0.4000000265240669
0.3,0.4,0.0,1,0.8003999590873718,0.40000002443790433,3.570810747325459e-08,0.3999999761581421,0.40000002533197404
0.3,0.4,0.0,2,0.7982999682426453,0.4000000241398811,3.719802629240999e-08,0.3999999165534973,0.4000000268220901
0.3,0.4,0.25,0,0.7993999719619751,0.3426496728509665,0.23680760734126727,0.14605872333049774,0.4000000271201134
0.3,0.4,0.25,1,0.7990999817848206,0.34408994354307654,0.23236739502212017,0.14785338938236237,0.40000002562999726
0.3,0.4,0.25,2,0.799299955368042,0.36182614617049697,0.2320292979270088,0.11661341786384583,0.4000000259280205
0.3,0.4,0.5,0,0.7961999773979187,0.29931297767907383,0.4507909743226574,-0.027313899248838425,0.40000002324581146
0.3,0.4,0.5,1,0.7980999946594238,0.2918096304498613,0.43885198766315586,-0.03465212136507034,0.40000002533197404
0.3,0.4,0.5,2,0.7968999743461609,0.3238873887434602,0.4227024007532922,-0.1142171323299408,0.4000000187754631
0.3,0.4,0.75,0,0.7958999872207642,0.3223435522057116,0.5555579565296231,0.1723034828901291,0.4000000217556953
0.3,0.4,0.75,1,0.7998999953269958,0.31770983058027924,0.5360952924400555,0.16823101043701172,0.4000000262260437
0.3,0.4,0.75,2,0.795799970626831,0.33068475138396025,0.5118930462369584,0.28882506489753723,0.4000000259280205
0.3,0.4,1.0,0,0.796999990940094,0.3130313540017232,0.5822575017424012,-0.003360495436936617,0.40000002533197404
0.3,0.4,1.0,1,0.8000999689102173,0.3096784337144345,0.564886467523617,0.011848672293126583,0.4000000274181366
0.3,0.4,1.0,2,0.7960999608039856,0.3292318051867187,0.5292956309708967,0.2178393304347992,0.4000000238418579
0.3,0.7,0.0,0,0.795799970626831,0.6999999994039535,5.377316861758966e-08,0.7000000476837158,0.7000000011920929
0.3,0.7,0.0,1,0.7990999817848206,0.7000000017881394,5.5181798576160135e-08,0.699999988079071,0.7000000035762787
0.3,0.7,0.0,2,0.793999969959259,0.6999999976158142,5.573592056065064e-08,0.7000000476837158,0.6999999970197678
0.3,0.7,0.25,0,0.7964999675750732,0.6654681760072708,0.11438667037911252,0.5875688195228577,0.7000000035762787
0.3,0.7,0.25,1,0.7989999651908875,0.664903284907341,0.11228788783972136,0.5634053945541382,0.7000000023841858
0.3,0.7,0.25,2,0.7947999835014343,0.6736714220046998,0.11202103858480315,0.6037377119064331,0.6999999988079071
0.3,0.7,0.5,0,0.7962999939918518,0.3699570662714541,0.45180975985842453,-0.14372560381889343,0.7000000077486038
0.3,0.7,0.5,1,0.7994999885559082,0.35892546935938296,0.43224220983828826,-0.12723949551582336,0.7000000029802322
0.3,0.7,0.5,2,0.796999990940094,0.39549835612997414,0.42551257853984487,-0.1238090842962265,0.7000000017881394
0.3,0.7,0.75,0,0.795799970626831,0.339775299038738,0.5576802498889953,0.1555536538362503,0.7000000005960465
0.3,0.7,0.75,1,0.7998999953269958,0.3302518721017986,0.5401446831458909,0.16300079226493835,0.6999999988079071
0.3,0.7,0.75,2,0.795199990272522,0.3458952281996608,0.5195110045241408,0.3039206564426422,0.7000000017881394
0.3,0.7,1.0,0,0.796999990940094,0.3130313540017232,0.5822575017424012,-0.003360495436936617,0.6999999994039535
0.3,0.7,1.0,1,0.8000999689102173,0.3096784337144345,0.564886467523617,0.011848672293126583,0.7000000035762787
0.3,0.7,1.0,2,0.7960999608039856,0.3292318051867187,0.5292956309708967,0.2178393304347992,0.6999999988079071
0.3,1.0,0.0,0,0.7967999577522278,1.0000000089406966,6.919018486883582e-08,1.0,1.0000000101327897
0.3,1.0,0.0,1,0.7982999682426453,1.0000000244379044,7.157274518601647e-08,1.0,1.000000028014183
0.3,1.0,0.0,2,0.7967000007629395,1.0000000196695327,6.422659770262831e-08,1.0,1.0000000220537186
0.3,1.0,0.25,0,0.7965999841690063,0.9611848503351211,0.023288610183689485,0.9436684846878052,1.000000022649765
0.3,1.0,0.25,1,0.7980999946594238,0.9605069214105606,0.023362001290273653,0.9435037970542908,1.0000000190734863
0.3,1.0,0.25,2,0.7960999608039856,0.9616997700929641,0.023296289252210264,0.9447437524795532,1.0000000143051146
0.3,1.0,0.5,0,0.7967000007629395,0.42047716438770294,0.39690842328646303,0.07446667551994324,1.000000022649765
0.3,1.0,0.5,1,0.801099956035614,0.4179910383373499,0.3946780176859972,0.07107292860746384,1.0000000190734863
0.3,1.0,0.5,2,0.7989000082015991,0.44761603631079194,0.3974947088803919,0.07194559276103973,1.0000000232458115
0.3,1.0,0.75,0,0.79749995470047,0.3595217640139163,0.5618182416720718,0.11642645299434662,1.000000021457672
0.3,1.0,0.75,1,0.7997999787330627,0.345397809734568,0.5475852984910071,0.14979678392410278,1.0000000137090683
0.3,1.0,0.75,2,0.7954999804496765,0.3651194234844297,0.5270804352764586,0.30661770701408386,1.0000000149011612
0.3,1.0,1.0,0,0.796999990940094,0.3130313540017232,0.5822575017424012,-0.003360495436936617,1.0000000149011612
0.3,1.0,1.0,1,0.8000999689102173,0.3096784337144345,0.564886467523617,0.011848672293126583,1.0000000154972077
0.3,1.0,1.0,2,0.7960999608039856,0.3292318051867187,0.5292956309708967,0.2178393304347992,1.000000021457672
0.5,0.0,0.0,0,0.11270000040531158,-3.492459654808044e-11,1.898386441345089e-09,-1.1641532182693481e-09,-2.2118911147117615e-11
0.5,0.0,0.0,1,0.12060000002384186,1.6385456547141075e-10,2.109895853605662e-09,2.0954757928848267e-09,1.877197064459324e-10
0.5,0.0,0.0,2,0.08899999409914017,6.693881005048751e-11,1.7741667355750919e-09,1.862645149230957e-09,5.471520125865936e-11
0.5,0.0,0.25,0,0.7678999900817871,0.2766056185215712,0.060486373139309844,0.06978614628314972,-2.1711457520723343e-10
0.5,0.0,0.25,1,0.7640999555587769,0.2755316274613142,0.05773088912209294,0.09323196858167648,7.275957614183426e-13
0.5,0.0,0.25,2,0.7532999515533447,0.28588908180594447,0.03731565028950546,0.17413654923439026,4.1094608604907987e-10
0.5,0.0,0.5,0,0.7913999557495117,0.30527932693250476,0.3704101510715074,-0.012833130545914173,2.306478563696146e-10
0.5,0.0,0.5,1,0.7945999503135681,0.3107059563137591,0.34813906491906554,-0.024257605895400047,4.656612873077393e-11
0.5,0.0,0.5,2,0.7904999852180481,0.33062055725604295,0.3289152077345063,0.12295825779438019,3.2014213502407077e-11
0.5,0.0,0.75,0,0.7943999767303467,0.30885364101268353,0.5228966447495629,0.12097825109958649,-3.64816514775157e-10
0.5,0.0,0.75,1,0.7942000031471252,0.31306905756006015,0.49673996852025853,0.09085940569639206,1.399894244968891e-10
0.5,0.0,0.75,2,0.7924000024795532,0.3418546038353816,0.4608586532114609,-0.06302446126937866,-2.1100277081131934e-11
0.5,0.0,1.0,0,0.7942000031471252,0.31615392576903106,0.5503553951049471,0.19511815905570984,-8.92032403498888e-11
0.5,0.0,1.0,1,0.7947999835014343,0.3189540412276983,0.5250513932171835,0.1650986224412918,1.9281287677586079e-10
0.5,0.0,1.0,2,0.7918999791145325,0.34270436825230716,0.4886490348157829,-0.011879198253154755,4.263711161911488e-11
0.5,0.4,0.0,0,0.799299955368042,0.4000000238418579,3.264680847556389e-08,0.40000003576278687,0.4000000247359276
0.5,0.4,0.0,1,0.7926999926567078,0.40000002562999726,3.890772800533197e-08,0.40000003576278687,0.4000000274181366
0.5,0.4,0.0,2,0.7953000068664551,0.4000000301003456,3.4161054223252455e-08,0.40000003576278687,0.4000000309944153
0.5,0.4,0.25,0,0.7985000014305115,0.37178859502077105,0.2365824900280269,0.07881854474544525,0.4000000289082527
0.5,0.4,0.25,1,0.7971999645233154,0.3729556933045387,0.23208762535741326,0.0799771100282669,0.4000000175833702
0.5,0.4,0.25,2,0.7943999767303467,0.3927805177867413,0.22168513899647427,0.08373797684907913,0.4000000247359276
0.5,0.4,0.5,0,0.7925999760627747,0.3376788343396038,0.42246414996903764,-0.08305693417787552,0.40000002562999726
0.5,0.4,0.5,1,0.795199990272522,0.3321878326649312,0.4086442626606103,-0.054269324988126755,0.4000000247359276
0.5,0.4,0.5,2,0.7919999957084656,0.35346581562422213,0.3999286550325335,0.06625629216432571,0.4000000250339508
0.5,0.4,0.75,0,0.7940999865531921,0.3206999175623059,0.5282657184682391,0.13420745730400085,0.4000000217556953
0.5,0.4,0.75,1,0.7947999835014343,0.32187965834978965,0.5032357618190191,0.09829101711511612,0.40000002264976503
0.5,0.4,0.75,2,0.7925999760627747,0.3462181915342808,0.47506663870234034,-0.056778743863105774,0.4000000274181366
0.5,0.4,1.0,0,0.7942000031471252,0.31615392576903106,0.5503553951049471,0.19511815905570984,0.4000000265240669
0.5,0.4,1.0,1,0.7947999835014343,0.3189540412276983,0.5250513932171835,0.1650986224412918,0.40000002086162567
0.5,0.4,1.0,2,0.7918999791145325,0.34270436825230716,0.4886490348157829,-0.011879198253154755,0.4000000309944153
0.5,0.7,0.0,0,0.7964999675750732,0.6999999988079071,4.568998312172127e-08,0.7000000476837158,0.7000000011920929
0.5,0.7,0.0,1,0.7979999780654907,0.699999988079071,5.1273854178444305e-08,0.7000000476837158,0.6999999892711639
0.5,0.7,0.0,2,0.7931999564170837,0.7000000005960465,5.7353793206739026e-08,0.699999988079071,0.7000000047683715
0.5,0.7,0.25,0,0.7976999878883362,0.6616821327805519,0.12859185748585356,0.6017093658447266,0.700000006556511
0.5,0.7,0.25,1,0.799299955368042,0.6596417436003685,0.12722693272440255,0.6093419194221497,0.6999999958276749
0.5,0.7,0.25,2,0.7967999577522278,0.6664122387766838,0.1244406719869455,0.5856834650039673,0.7000000023841858
0.5,0.7,0.5,0,0.7942999601364136,0.37669468893669544,0.43971100403395635,-0.03853406384587288,0.6999999982118607
0.5,0.7,0.5,1,0.7958999872207642,0.3623409566190094,0.43599028333783335,0.012585741467773914,0.7000000005960465
0.5,0.7,0.5,2,0.7928999662399292,0.3841675203479826,0.43292032245727247,0.14600548148155212,0.6999999946355819
0.5,0.7,0.75,0,0.7942000031471252,0.33030190208926796,0.535033902584596,0.15489782392978668,0.7000000047683715
0.5,0.7,0.75,1,0.7953999638557434,0.3290723397536203,0.5101797890973182,0.11615873873233795,0.6999999970197678
0.5,0.7,0.75,2,0.792199969291687,0.35077608946710825,0.4882789355305007,-0.05881691724061966,0.7000000005960465
0.5,0.7,1.0,0,0.7942000031471252,0.31615392576903106,0.5503553951049471,0.19511815905570984,0.7000000023841858
0.5,0.7,1.0,1,0.7947999835014343,0.3189540412276983,0.5250513932171835,0.1650986224412918,0.6999999940395355
0.5,0.7,1.0,2,0.7918999791145325,0.34270436825230716,0.4886490348157829,-0.011879198253154755,0.7000000101327896
0.5,1.0,0.0,0,0.7971000075340271,1.0000000143051146,6.085514554071531e-08,1.0000001192092896,1.0000000166893006
0.5,1.0,0.0,1,0.7980999946594238,1.0000000196695327,6.953846840573469e-08,1.000000238418579,1.000000021457672
0.5,1.0,0.0,2,0.7980999946594238,1.0000000202655792,6.962271571373386e-08,1.0,1.0000000208616258
0.5,1.0,0.25,0,0.7968999743461609,0.9641314232349396,0.021814081232276388,0.9437426924705505,1.0000000184774398
0.5,1.0,0.25,1,0.7979999780654907,0.9630644965171814,0.021655435020045955,0.9431682825088501,1.0000000184774398
0.5,1.0,0.25,2,0.7932999730110168,0.9640940225124359,0.02171214540243775,0.9434238076210022,1.0000000292062758
0.5,1.0,0.5,0,0.7967999577522278,0.4355120887607336,0.4158455108459564,0.07418069988489151,1.0000000196695327
0.5,1.0,0.5,1,0.8019999861717224,0.43528366621583703,0.4139087524662337,0.06265123188495636,1.0000000154972077
0.5,1.0,0.5,2,0.8007999658584595,0.46311506181955336,0.41046405660356894,0.060747597366571426,1.0000000125169755
0.5,1.0,0.75,0,0.7930999994277954,0.3418452426791191,0.5436460948012114,0.19032752513885498,1.0000000274181366
0.5,1.0,0.75,1,0.795799970626831,0.3360886820498854,0.5200395587204484,0.14043164253234863,1.000000016093254
0.5,1.0,0.75,2,0.7922999858856201,0.35723630813881757,0.5032036646242986,-0.03837939724326134,1.0000000125169755
0.5,1.0,1.0,0,0.7942000031471252,0.31615392576903106,0.5503553951049471,0.19511815905570984,1.0000000095367432
0.5,1.0,1.0,1,0.7947999835014343,0.3189540412276983,0.5250513932171835,0.1650986224412918,1.000000025033951
0.5,1.0,1.0,2,0.7918999791145325,0.34270436825230716,0.4886490348157829,-0.011879198253154755,1.0000000190734863
