noise_rate,rho,lambda,test_acc_mean,test_acc_std,A_naive_mean,A_naive_std,cos_gval_gref
0.0,0.0,0.0,0.11143332968155543,0.01111500656503132,-7.906540607412656e-11,2.595197444947911e-10,-7.596099749207498e-11
0.0,0.0,0.25,0.7980999747912089,0.0008185473126991107,0.31622776269912717,1.2990531328365885e-09,-3.002545175453026e-11
0.0,0.0,0.5,0.7993666330973307,0.0009073700887003575,0.7071067865689596,7.547306926732368e-09,-1.4944816939532756e-10
0.0,0.0,0.75,0.798699955145518,0.0005567778322640298,0.9486832944552104,6.317342530891025e-09,2.2992026060819624e-11
0.0,0.0,1.0,0.7989999850591024,0.0005196326413609674,1.0000000196695327,6.049210890612025e-09,-4.154571797698737e-11
0.0,0.4,0.0,0.7987333138783773,0.0018502229745966951,0.40000002741813656,1.8611544460989311e-09,0.400000029305617
0.0,0.4,0.25,0.7990666429201762,0.0009609067309478062,0.6247580293814341,6.538423952100703e-09,0.4000000235438346
0.0,0.4,0.5,0.7990999817848206,0.000888809339762134,0.8366600441932679,6.447228111205102e-09,0.4000000262260437
0.0,0.4,0.75,0.7988999883333842,0.0006082889999161186,0.9655351263284683,3.7223088388644737e-09,0.40000002741813656
0.0,0.4,1.0,0.7989999850591024,0.0005196326413609674,1.0000000196695327,6.049210890612025e-09,0.4000000228484472
0.0,0.7,0.0,0.7993333141009012,0.001011595404377623,0.7000000017881393,1.5769906458424227e-09,0.7000000063578288
0.0,0.7,0.25,0.7991666396458944,0.0010969564599091343,0.8226545765002569,2.093246368898792e-09,0.69999999721845
0.0,0.7,0.5,0.7986666560173035,0.0008144647388950987,0.9219544353087743,8.351743027601262e-09,0.7000000023841858
0.0,0.7,0.75,0.7988333106040955,0.00032147437351728956,0.9818780539433162,6.20384810329268e-09,0.7000000009934108
0.0,0.7,1.0,0.7989999850591024,0.0005196326413609674,1.0000000196695327,6.049210890612025e-09,0.699999997417132
0.0,1.0,0.0,0.7989999850591024,0.0005196326413609674,1.0000000206629436,9.561546160290162e-09,1.0000000246365863
0.0,1.0,0.25,0.7989999850591024,0.0005196326413609674,1.0000000182787578,1.022585971860194e-08,1.000000021060308
0.0,1.0,0.5,0.7989999850591024,0.0005196326413609674,1.0000000166893006,2.598106186078605e-09,1.0000000244379044
0.0,1.0,0.75,0.7989999850591024,0.0005196326413609674,1.0000000129143396,1.1345777140920371e-08,1.0000000204642614
0.0,1.0,1.0,0.7989999850591024,0.0005196326413609674,1.0000000196695327,6.049210890612025e-09,1.0000000196695327
0.3,0.0,0.0,0.10873333116372426,0.01471371345801437,1.328104796508948e-10,2.4573774623216525e-10,1.280568540096283e-10
0.3,0.0,0.25,0.786900003751119,0.0027874715812213975,0.22328188554616646,0.02021320427412819,5.0907450107236706e-11
0.3,0.0,0.5,0.7960333029429117,0.0010969754773949125,0.2618052101616437,0.018321976563260633,2.2958071591953435e-10
0.3,0.0,0.75,0.7970999876658121,0.002426938304842549,0.3065009966492653,0.007494812038692433,-8.216981465617817e-11
0.3,0.0,1.0,0.7977333068847656,0.0020984114035412695,0.3173138643009588,0.010456505383280702,-4.6129571273922926e-11
0.3,0.4,0.0,0.7993332942326864,0.001050392306191218,0.40000002463658646,6.203848349959604e-10,0.4000000262260437
0.3,0.4,0.25,0.7992666363716125,0.00015274535423246812,0.3495219208548466,0.010680077966960494,0.4000000262260437
0.3,0.4,0.5,0.7970666488011678,0.0009609118996912541,0.3050033322907984,0.016778877971754227,0.40000002245108285
0.3,0.4,0.75,0.7971999843915304,0.0023388127583221525,0.3235793780566503,0.006575149550834175,0.40000002463658646
0.3,0.4,1.0,0.7977333068847656,0.0020984114035412695,0.3173138643009588,0.010456505383280702,0.40000002553065617
0.3,0.7,0.0,0.7962999741236368,0.002586509767588424,0.6999999996026357,2.0932463399199225e-09,0.7000000005960465
0.3,0.7,0.25,0.7967666387557983,0.0021126515772619415,0.6680142943064372,0.004907351203503993,0.7000000015894572
0.3,0.7,0.5,0.797599991162618,0.0016822578585844923,0.37479363058693704,0.01876001805614732,0.7000000041723252
0.3,0.7,0.75,0.7969666520754496,0.0025580013838801953,0.3386407997800658,0.007883144291910189,0.7000000003973644
0.3,0.7,1.0,0.7977333068847656,0.0020984114035412695,0.3173138643009588,0.010456505383280702,0.7000000005960464
0.3,1.0,0.0,0.7972666422526041,0.0008962810949683648,1.0000000176827113,7.937345617263979e-09,1.0000000200668973
0.3,1.0,0.25,0.7969333132108053,0.0010408482325991323,0.9611305139462153,0.0005982778009816689,1.000000018676122
0.3,1.0,0.5,0.7988999883333842,0.002199977636404567,0.42869474634528154,0.01643339940954862,1.0000000216563543
0.3,1.0,0.75,0.7975999712944031,0.0021517431999608172,0.3566796657443047,0.010163348569997996,1.0000000166893006
0.3,1.0,1.0,0.7977333068847656,0.0020984114035412695,0.3173138643009588,0.010456505383280702,1.0000000172853472
0.5,0.0,0.0,0.1074333315094312,0.016445164777356924,6.52895929912726e-11,9.939984281161659e-11,7.343866551915805e-11
0.5,0.0,0.25,0.7617666323979696,0.007574534902393053,0.2793421092629433,0.005695217406604116,6.48530355344216e-11
0.5,0.0,0.5,0.7921666304270426,0.0021548250490459626,0.3155352801674356,0.013343023092253865,1.0307606620093186e-10
0.5,0.0,0.75,0.793666660785675,0.0011015056998704843,0.3212591008027084,0.017960331095044177,-8.197578911979994e-11
0.5,0.0,1.0,0.7936333219210306,0.0015308011203348665,0.3259374450830122,0.014587921238793648,4.8748916015028955e-11
0.5,0.4,0.0,0.7957666516304016,0.003324634558795839,0.4000000265240669,3.2236140767720834e-09,0.4000000277161598
0.5,0.4,0.25,0.7966999808947245,0.002095241837386435,0.3791749353706837,0.011797221463594543,0.4000000237425168
0.5,0.4,0.5,0.7932666540145874,0.0017009808702841277,0.34111082754291905,0.011046360156842178,0.40000002513329186
0.5,0.4,0.75,0.793833315372467,0.0011239854632118054,0.3295992558154588,0.014404503302827438,0.400000023941199
0.5,0.4,1.0,0.7936333219210306,0.0015308011203348665,0.3259374450830122,0.014587921238793648,0.40000002612670266
0.5,0.7,0.0,0.7958999673525492,0.00245561645143648,0.6999999958276749,6.7697862983515135e-09,0.6999999984105427
0.5,0.7,0.25,0.797933300336202,0.0012662239310311837,0.6625787050525348,0.003473151682880185,0.7000000015894572
0.5,0.7,0.5,0.7943666378657023,0.001501121551057667,0.37440105530122914,0.011092578036418735,0.6999999978144964
0.5,0.7,0.75,0.7939333120981852,0.0016165810803006823,0.3367167771033322,0.01219123266905282,0.7000000007947286
0.5,0.7,1.0,0.7936333219210306,0.0015308011203348665,0.3259374450830122,0.014587921238793648,0.7000000021855036
0.5,1.0,0.0,0.7977666656176249,0.0005773428360339693,1.0000000180800754,3.282767970191319e-09,1.000000019669533
0.5,1.0,0.25,0.7960666418075562,0.0024583214228296223,0.9637633140881857,0.0006054826188001944,1.0000000220537186
0.5,1.0,0.5,0.7998666365941366,0.002722756237274849,0.4446369389320413,0.016002931397067592,1.0000000158945719
0.5,1.0,0.75,0.7937333186467489,0.0018339283579243886,0.345056744289274,0.010933472881172841,1.000000018676122
0.5,1.0,1.0,0.7936333219210306,0.0015308011203348665,0.3259374450830122,0.014587921238793648,1.0000000178813935
