noise,lambda,rho,run,arch,acc,phi_js,A,C_js
0.0,0.0,1.0,33,integrated,0.9625000357627869,0.16013038158416748,1.0,0.16013038158416748
0.0,0.0,1.0,33,modular,0.8125,0.0,1.0,0.0
0.0,0.0,1.0,34,integrated,0.987500011920929,0.30374738574028015,1.0,0.30374738574028015
0.0,0.0,1.0,34,modular,0.800000011920929,0.0,1.0,0.0
0.0,0.0,1.0,35,integrated,0.9625000357627869,0.09506066143512726,1.0,0.09506066143512726
0.0,0.0,1.0,35,modular,0.7750000357627869,0.0,1.0,0.0
0.0,0.0,1.0,36,integrated,0.9000000357627869,0.11813793331384659,1.0,0.11813793331384659
0.0,0.0,1.0,36,modular,0.824999988079071,0.0,1.0,0.0
0.0,0.0,1.0,37,integrated,0.925000011920929,0.12613840401172638,1.0,0.12613840401172638
0.0,0.0,1.0,37,modular,0.875,0.0,1.0,0.0
0.0,0.0,1.0,38,integrated,0.9750000238418579,0.14210788905620575,1.0,0.14210788905620575
0.0,0.0,1.0,38,modular,0.887499988079071,0.0,1.0,0.0
0.0,0.0,1.0,39,integrated,0.9000000357627869,0.09875037521123886,1.0,0.09875037521123886
0.0,0.0,1.0,39,modular,0.887499988079071,0.0,1.0,0.0
0.0,0.0,0.9,0,integrated,0.875,0.16038110852241516,0.95,0.1523620530962944
0.0,0.0,0.9,0,modular,0.762499988079071,0.0,0.95,0.0
0.0,0.0,0.9,1,integrated,0.987500011920929,0.08827897906303406,0.95,0.08386503010988235
0.0,0.0,0.9,1,modular,0.800000011920929,0.0,0.95,0.0
0.0,0.0,0.9,2,integrated,0.9375,0.21366427838802338,0.95,0.20298106446862219
0.0,0.0,0.9,2,modular,0.9125000238418579,0.0,0.95,0.0
0.0,0.0,0.9,3,integrated,0.875,0.37359052896499634,0.95,0.3549110025167465
0.0,0.0,0.9,3,modular,0.737500011920929,0.0,0.95,0.0
0.0,0.0,0.9,4,integrated,1.0,0.1876228302717209,0.95,0.17824168875813484
0.0,0.0,0.9,4,modular,0.875,0.0,0.95,0.0
0.0,0.0,0.9,5,integrated,0.887499988079071,0.11014318466186523,0.95,0.10463602542877197
0.0,0.0,0.9,5,modular,0.699999988079071,0.0,0.95,0.0
0.0,0.0,0.9,6,integrated,0.9000000357627869,0.11726752668619156,0.95,0.11140415035188198
0.0,0.0,0.9,6,modular,0.800000011920929,0.0,0.95,0.0
0.0,0.0,0.9,7,integrated,0.9750000238418579,0.18438951671123505,0.95,0.17517004087567328
0.0,0.0,0.9,7,modular,0.75,0.0,0.95,0.0
0.0,0.0,0.9,8,integrated,0.987500011920929,0.18607932329177856,0.95,0.17677535712718964
0.0,0.0,0.9,8,modular,0.887499988079071,0.0,0.95,0.0
0.0,0.0,0.9,9,integrated,0.949999988079071,0.10626795142889023,0.95,0.10095455385744571
0.0,0.0,0.9,9,modular,0.7875000238418579,0.0,0.95,0.0
0.0,0.0,0.9,10,integrated,1.0,0.25371140241622925,0.95,0.24102583229541777
0.0,0.0,0.9,10,modular,0.9125000238418579,0.0,0.95,0.0
