experiment_id,experiment,dataset,lambda,noise_rate,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
O-036,exp_O_cifar100_universality,CIFAR-100,0.2,0.8,0,0.3816,0.6184000000000001,0.4123,0.5877,-0.04155076264113317,617.9073419570923
O-037,exp_O_cifar100_universality,CIFAR-100,0.2,0.8,1,0.4083,0.5917,0.4386,0.5614,-0.04428940727415223,618.4558684825897
O-038,exp_O_cifar100_universality,CIFAR-100,0.2,0.8,2,0.3781,0.6219,0.4086,0.5913999999999999,-0.0426593728346865,618.1639375686646
O-039,exp_O_cifar100_universality,CIFAR-100,0.2,0.8,3,0.38,0.62,0.4134,0.5866,-0.03997398903672598,618.3564155101776
O-040,exp_O_cifar100_universality,CIFAR-100,0.2,0.8,4,0.389,0.611,0.4202,0.5798,-0.0420851977213438,618.1146879196167
O-041,exp_O_cifar100_universality,CIFAR-100,0.3,0.8,0,0.438,0.562,0.438,0.562,-0.0936122518944172,618.3507611751556
O-042,exp_O_cifar100_universality,CIFAR-100,0.3,0.8,1,0.4737,0.5263,0.4737,0.5263,-0.09203723751966696,617.8944892883301
O-043,exp_O_cifar100_universality,CIFAR-100,0.3,0.8,2,0.4688,0.5312,0.4688,0.5312,-0.09278602547289128,618.3637323379517
O-044,exp_O_cifar100_universality,CIFAR-100,0.3,0.8,3,0.4658,0.5342,0.4658,0.5342,-0.09295518896747933,628.4974081516266
O-045,exp_O_cifar100_universality,CIFAR-100,0.3,0.8,4,0.4556,0.5444,0.4566,0.5434,-0.09069908746201785,627.8129985332489
O-046,exp_O_cifar100_universality,CIFAR-100,0.35,0.8,0,0.4548,0.5452,0.4548,0.5452,-0.13156909305603806,623.6924443244934
O-047,exp_O_cifar100_universality,CIFAR-100,0.35,0.8,1,0.4535,0.5465,0.4535,0.5465,-0.12817047709612273,618.8106215000153
O-048,exp_O_cifar100_universality,CIFAR-100,0.35,0.8,2,0.4477,0.5523,0.4477,0.5523,-0.12591209504179932,618.6491158008575
O-049,exp_O_cifar100_universality,CIFAR-100,0.35,0.8,3,0.4434,0.5566,0.4434,0.5566,-0.12520169683646423,617.592315196991
O-050,exp_O_cifar100_universality,CIFAR-100,0.35,0.8,4,0.439,0.5609999999999999,0.439,0.5609999999999999,-0.12553852698474358,618.2366933822632
O-051,exp_O_cifar100_universality,CIFAR-100,0.4,0.8,0,0.5175,0.48250000000000004,0.5175,0.48250000000000004,-0.19346634946250688,617.9349231719971
O-052,exp_O_cifar100_universality,CIFAR-100,0.4,0.8,1,0.4078,0.5922000000000001,0.4078,0.5922000000000001,-0.15508749341533987,617.9976844787598
O-053,exp_O_cifar100_universality,CIFAR-100,0.4,0.8,2,0.4195,0.5805,0.4195,0.5805,-0.1695901593626656,617.7860238552094
O-054,exp_O_cifar100_universality,CIFAR-100,0.4,0.8,3,0.4084,0.5916,0.4084,0.5916,-0.16692446120514365,618.3138098716736
O-055,exp_O_cifar100_universality,CIFAR-100,0.4,0.8,4,0.4275,0.5725,0.4275,0.5725,-0.16043962679839788,617.921820640564
O-056,exp_O_cifar100_universality,CIFAR-100,0.45,0.8,0,0.4038,0.5962000000000001,0.4038,0.5962000000000001,-0.23091429457617083,617.7379627227783
O-057,exp_O_cifar100_universality,CIFAR-100,0.45,0.8,1,0.463,0.5369999999999999,0.463,0.5369999999999999,-0.23284013195470796,617.4792923927307
O-058,exp_O_cifar100_universality,CIFAR-100,0.45,0.8,2,0.3713,0.6287,0.3713,0.6287,-0.21697409862478095,617.56964802742
O-059,exp_O_cifar100_universality,CIFAR-100,0.45,0.8,3,0.3988,0.6012,0.3988,0.6012,-0.22175956615772194,618.1259090900421
O-060,exp_O_cifar100_universality,CIFAR-100,0.45,0.8,4,0.3973,0.6027,0.3973,0.6027,-0.22377781356319196,617.8835480213165
O-061,exp_O_cifar100_universality,CIFAR-100,0.5,0.8,0,0.2627,0.7373000000000001,0.2627,0.7373000000000001,-0.25197764919447496,619.6216650009155
O-062,exp_O_cifar100_universality,CIFAR-100,0.5,0.8,1,0.3913,0.6087,0.3913,0.6087,-0.25580473261059095,620.2871782779694
O-063,exp_O_cifar100_universality,CIFAR-100,0.5,0.8,2,0.3601,0.6399,0.3601,0.6399,-0.25047130426573444,620.0125970840454
O-064,exp_O_cifar100_universality,CIFAR-100,0.5,0.8,3,0.3403,0.6597,0.3403,0.6597,-0.2528084345439878,620.1294484138489
O-065,exp_O_cifar100_universality,CIFAR-100,0.5,0.8,4,0.248,0.752,0.248,0.752,-0.2580792759860186,622.9314684867859
O-066,exp_O_cifar100_universality,CIFAR-100,0.6,0.8,0,0.0602,0.9398,0.0611,0.9389,-0.13974484853297534,626.449205160141
O-067,exp_O_cifar100_universality,CIFAR-100,0.6,0.8,1,0.0933,0.9067000000000001,0.0933,0.9067000000000001,-0.18166906497528093,626.2344207763672
O-068,exp_O_cifar100_universality,CIFAR-100,0.6,0.8,2,0.1109,0.8891,0.1109,0.8891,-0.15112281996232924,625.781769990921
O-069,exp_O_cifar100_universality,CIFAR-100,0.6,0.8,3,0.01,0.99,0.0288,0.9712,-0.007822038099133165,622.0817272663116
O-070,exp_O_cifar100_universality,CIFAR-100,0.6,0.8,4,0.0538,0.9462,0.0538,0.9462,-0.1704806667185293,617.5860710144043
