,,test_error,test_error,test_error
,,mean,std,count
noise_rate,lambda,,,
0.4,0.1,0.267,0.003,3
0.4,0.2,0.1859,0.0026,3
0.4,0.3,0.1656,0.005,3
0.4,0.4,0.6937,0.1603,3
0.4,0.5,0.8331,0.0265,3
0.4,0.6,0.9104,0.017,3
0.8,0.1,0.6559,0.0294,3
0.8,0.2,0.8076,0.0257,3
0.8,0.3,0.8893,0.0237,3
0.8,0.4,0.8982,0.0398,3
0.8,0.5,0.9226,0.029,3
0.8,0.6,0.9,0.0,3
