,,test_error,test_error,test_error
,,mean,std,count
noise_rate,lambda,,,
0.4,0.1,0.2709,0.004,3
0.4,0.2,0.1867,0.0042,3
0.4,0.3,0.1483,0.0021,3
0.4,0.4,0.586,0.1106,3
0.4,0.5,0.9,0.0,3
0.4,0.6,0.9,0.0,3
0.8,0.1,0.7114,0.0311,3
0.8,0.2,0.9,0.0,3
0.8,0.3,0.9,0.0,3
0.8,0.4,0.9,0.0,3
0.8,0.5,0.9,0.0,3
0.8,0.6,0.9,0.0,3
