experiment_id,experiment,width_mult,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q1a-001,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,0,0.8612,0.13880000000000003,0.8612,0.13880000000000003,-0.18495835013617523,544.6684274673462
Q1a-002,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,1,0.8578,0.1422,0.8578,0.1422,-0.1794043767758602,542.0908637046814
Q1a-003,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,2,0.8582,0.14180000000000004,0.8582,0.14180000000000004,-0.1693039314787982,543.9503512382507
Q1a-004,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,3,0.8618,0.1382,0.862,0.138,-0.17831120202858333,543.4371485710144
Q1a-005,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,4,0.8629,0.1371,0.8629,0.1371,-0.16505414037200225,544.1170094013214
Q1a-006,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,5,0.8615,0.13849999999999996,0.8615,0.13849999999999996,-0.1758648155213806,544.8016164302826
Q1a-007,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,6,0.8625,0.13749999999999996,0.8625,0.13749999999999996,-0.19096016367490531,552.1493089199066
Q1a-008,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,7,0.8608,0.1392,0.8608,0.1392,-0.1754023467925703,553.2625896930695
Q1a-009,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,8,0.8561,0.14390000000000003,0.8573,0.14270000000000005,-0.17462971437272223,556.5535032749176
Q1a-010,exp_Q1a_finite_size_scaling,0.5,0.4,0.42,9,0.8564,0.14359999999999995,0.8564,0.14359999999999995,-0.18671154513579735,556.4305009841919
Q1a-011,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,0,0.8453,0.15469999999999995,0.8453,0.15469999999999995,-0.1649146748709668,554.8934059143066
Q1a-012,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,1,0.8495,0.15049999999999997,0.8495,0.15049999999999997,-0.18575139069306065,555.9417886734009
Q1a-013,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,2,0.8426,0.15739999999999998,0.8426,0.15739999999999998,-0.15640173390401974,574.8640887737274
Q1a-014,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,3,0.8454,0.15459999999999996,0.8454,0.15459999999999996,-0.16882365665905774,557.6903610229492
Q1a-015,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,4,0.8442,0.15580000000000005,0.8442,0.15580000000000005,-0.1689001274502204,554.8843944072723
Q1a-016,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,5,0.8479,0.1521,0.8479,0.1521,-0.17198232970881155,555.2727475166321
Q1a-017,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,6,0.8215,0.1785,0.8215,0.1785,-0.13015477187723654,553.3230319023132
Q1a-018,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,7,0.857,0.14300000000000002,0.857,0.14300000000000002,-0.1705135194276583,552.5016763210297
Q1a-019,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,8,0.847,0.15300000000000002,0.847,0.15300000000000002,-0.16828502293717715,558.5031318664551
Q1a-020,exp_Q1a_finite_size_scaling,0.5,0.4,0.44,9,0.8424,0.15759999999999996,0.8424,0.15759999999999996,-0.15565558326194223,556.5285794734955
Q1a-021,exp_Q1a_finite_size_scaling,0.5,0.4,0.46,0,0.8094,0.1906,0.8094,0.1906,-0.12248919196580109,553.3906846046448
Q1a-022,exp_Q1a_finite_size_scaling,0.5,0.4,0.46,1,0.7872,0.2128,0.7872,0.2128,-0.09524993490896362,554.0486915111542
Q1a-023,exp_Q1a_finite_size_scaling,0.5,0.4,0.46,2,0.7959,0.20409999999999995,0.7959,0.20409999999999995,-0.08286151159757851,554.8811876773834
Q1a-024,exp_Q1a_finite_size_scaling,0.5,0.4,0.46,3,0.7831,0.21689999999999998,0.7831,0.21689999999999998,-0.09208176272711598,552.3840095996857
Q1a-025,exp_Q1a_finite_size_scaling,0.5,0.4,0.46,4,0.7508,0.24919999999999998,0.7508,0.24919999999999998,-0.0977164769709545,553.1357233524323
