experiment_id,experiment,width_mult,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q1c3-001,exp_Q1c3_finite_size_scaling,2.0,0.8,0.4,0,0.7888,0.21120000000000005,0.7888,0.21120000000000005,-0.4299015769979807,1227.170081615448
Q1c3-002,exp_Q1c3_finite_size_scaling,2.0,0.8,0.4,1,0.7598,0.24019999999999997,0.7598,0.24019999999999997,-0.4365241725276383,1227.7940974235535
Q1c3-003,exp_Q1c3_finite_size_scaling,2.0,0.8,0.4,2,0.7654,0.23460000000000003,0.7654,0.23460000000000003,-0.43897502976587893,1229.5769982337952
Q1c3-004,exp_Q1c3_finite_size_scaling,2.0,0.8,0.4,3,0.7797,0.22030000000000005,0.7797,0.22030000000000005,-0.4405989937672905,1228.836481809616
Q1c3-005,exp_Q1c3_finite_size_scaling,2.0,0.8,0.4,4,0.7548,0.24519999999999997,0.7548,0.24519999999999997,-0.42071471160082907,1228.1378424167633
Q1c3-006,exp_Q1c3_finite_size_scaling,2.0,0.8,0.4,5,0.7747,0.22529999999999994,0.7747,0.22529999999999994,-0.43262965059725145,1227.2676048278809
Q1c3-007,exp_Q1c3_finite_size_scaling,2.0,0.8,0.4,6,0.7653,0.23470000000000002,0.7653,0.23470000000000002,-0.4345968592930935,1230.6991522312164
Q1c3-008,exp_Q1c3_finite_size_scaling,2.0,0.8,0.4,7,0.7659,0.23409999999999997,0.7659,0.23409999999999997,-0.434338647149793,1227.707769870758
Q1c3-009,exp_Q1c3_finite_size_scaling,2.0,0.8,0.4,8,0.7807,0.21930000000000005,0.7807,0.21930000000000005,-0.4357514230020143,1227.701043844223
Q1c3-010,exp_Q1c3_finite_size_scaling,2.0,0.8,0.4,9,0.7583,0.24170000000000003,0.7583,0.24170000000000003,-0.4248887846900989,1230.546763420105
Q1c3-011,exp_Q1c3_finite_size_scaling,2.0,0.8,0.42,0,0.7813,0.2187,0.7813,0.2187,-0.4407174257010967,1230.5807104110718
Q1c3-012,exp_Q1c3_finite_size_scaling,2.0,0.8,0.42,1,0.7624,0.23760000000000003,0.7624,0.23760000000000003,-0.4458112496682395,1230.8735427856445
Q1c3-013,exp_Q1c3_finite_size_scaling,2.0,0.8,0.42,2,0.7786,0.22140000000000004,0.7786,0.22140000000000004,-0.4387425689469627,1232.3784692287445
Q1c3-014,exp_Q1c3_finite_size_scaling,2.0,0.8,0.42,3,0.7796,0.22040000000000004,0.7796,0.22040000000000004,-0.4432352880313898,1231.417869567871
Q1c3-015,exp_Q1c3_finite_size_scaling,2.0,0.8,0.42,4,0.7828,0.21719999999999995,0.7828,0.21719999999999995,-0.4486851191125501,1229.8323593139648
Q1c3-016,exp_Q1c3_finite_size_scaling,2.0,0.8,0.42,5,0.7861,0.21389999999999998,0.7861,0.21389999999999998,-0.4413008363471053,1229.075143814087
Q1c3-017,exp_Q1c3_finite_size_scaling,2.0,0.8,0.42,6,0.7428,0.2572,0.7428,0.2572,-0.4331714618351425,1229.5047662258148
Q1c3-018,exp_Q1c3_finite_size_scaling,2.0,0.8,0.42,7,0.7653,0.23470000000000002,0.7653,0.23470000000000002,-0.44539484908102245,1228.1320118904114
Q1c3-019,exp_Q1c3_finite_size_scaling,2.0,0.8,0.42,8,0.756,0.244,0.756,0.244,-0.4364514794462475,1229.2182993888855
Q1c3-020,exp_Q1c3_finite_size_scaling,2.0,0.8,0.42,9,0.7283,0.27170000000000005,0.7283,0.27170000000000005,-0.426761925738502,1229.2693367004395
