experiment_id,experiment,width_mult,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q1c4-001,exp_Q1c4_finite_size_scaling,2.0,0.8,0.44,0,0.6051,0.39490000000000003,0.6051,0.39490000000000003,-0.3038780569961849,1319.338381767273
Q1c4-002,exp_Q1c4_finite_size_scaling,2.0,0.8,0.44,1,0.6718,0.32820000000000005,0.6718,0.32820000000000005,-0.38516895084867575,1317.706120967865
Q1c4-003,exp_Q1c4_finite_size_scaling,2.0,0.8,0.44,2,0.7133,0.28669999999999995,0.7133,0.28669999999999995,-0.447871283966043,1319.1616396903992
Q1c4-004,exp_Q1c4_finite_size_scaling,2.0,0.8,0.44,3,0.655,0.345,0.655,0.345,-0.3856293861759999,1319.9625470638275
Q1c4-005,exp_Q1c4_finite_size_scaling,2.0,0.8,0.44,4,0.611,0.389,0.611,0.389,-0.33258220018909257,1320.9001579284668
Q1c4-006,exp_Q1c4_finite_size_scaling,2.0,0.8,0.44,5,0.6833,0.3167,0.6833,0.3167,-0.4210670220910522,1319.7043347358704
Q1c4-007,exp_Q1c4_finite_size_scaling,2.0,0.8,0.44,6,0.7164,0.28359999999999996,0.7164,0.28359999999999996,-0.39221522170724527,1322.800095796585
Q1c4-008,exp_Q1c4_finite_size_scaling,2.0,0.8,0.44,7,0.6692,0.3308,0.6692,0.3308,-0.4243488537170924,1320.5303311347961
Q1c4-009,exp_Q1c4_finite_size_scaling,2.0,0.8,0.44,8,0.7246,0.2754,0.7246,0.2754,-0.41016075514558686,1321.7252316474915
Q1c4-010,exp_Q1c4_finite_size_scaling,2.0,0.8,0.44,9,0.7205,0.27949999999999997,0.7205,0.27949999999999997,-0.41085031831767693,1321.732134103775
Q1c4-011,exp_Q1c4_finite_size_scaling,2.0,0.8,0.46,0,0.619,0.381,0.619,0.381,-0.30182385106379767,1323.606402873993
Q1c4-012,exp_Q1c4_finite_size_scaling,2.0,0.8,0.46,1,0.5748,0.4252,0.5748,0.4252,-0.2954921741265452,1321.9867630004883
Q1c4-013,exp_Q1c4_finite_size_scaling,2.0,0.8,0.46,2,0.5443,0.4557,0.5443,0.4557,-0.34012286442750406,1322.4674367904663
Q1c4-014,exp_Q1c4_finite_size_scaling,2.0,0.8,0.46,3,0.6616,0.33840000000000003,0.6616,0.33840000000000003,-0.40011065979032623,1322.8188245296478
Q1c4-015,exp_Q1c4_finite_size_scaling,2.0,0.8,0.46,4,0.6214,0.37860000000000005,0.6214,0.37860000000000005,-0.2817722211527217,1322.784942150116
Q1c4-016,exp_Q1c4_finite_size_scaling,2.0,0.8,0.46,5,0.7033,0.29669999999999996,0.7033,0.29669999999999996,-0.3513769108079711,1320.8313927650452
Q1c4-017,exp_Q1c4_finite_size_scaling,2.0,0.8,0.46,6,0.6012,0.39880000000000004,0.6012,0.39880000000000004,-0.34911446812328634,1322.1122477054596
Q1c4-018,exp_Q1c4_finite_size_scaling,2.0,0.8,0.46,7,0.5958,0.4042,0.5958,0.4042,-0.29173723633733706,1321.8750267028809
Q1c4-019,exp_Q1c4_finite_size_scaling,2.0,0.8,0.46,8,0.5871,0.41290000000000004,0.5871,0.41290000000000004,-0.2565048722105638,1324.7229206562042
Q1c4-020,exp_Q1c4_finite_size_scaling,2.0,0.8,0.46,9,0.5835,0.4165,0.5835,0.4165,-0.30823263372420523,1323.773604631424
