experiment_id,experiment,width_mult,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q1c1-041,exp_Q1c1_finite_size_scaling,2.0,0.4,0.5,0,0.8032,0.19679999999999997,0.8032,0.19679999999999997,-0.07926604584759285,1318.1511030197144
Q1c1-042,exp_Q1c1_finite_size_scaling,2.0,0.4,0.5,1,0.7809,0.21909999999999996,0.7809,0.21909999999999996,-0.062343003967140175,1319.9616219997406
Q1c1-043,exp_Q1c1_finite_size_scaling,2.0,0.4,0.5,2,0.8057,0.19430000000000003,0.8057,0.19430000000000003,-0.08427428291299814,1323.6296384334564
Q1c1-044,exp_Q1c1_finite_size_scaling,2.0,0.4,0.5,3,0.7908,0.20920000000000005,0.7908,0.20920000000000005,-0.05191430559129708,1324.8247396945953
Q1c1-045,exp_Q1c1_finite_size_scaling,2.0,0.4,0.5,4,0.7838,0.21619999999999995,0.7838,0.21619999999999995,-0.0584958526398274,1317.9458861351013
Q1c1-046,exp_Q1c1_finite_size_scaling,2.0,0.4,0.5,5,0.8482,0.15180000000000005,0.8482,0.15180000000000005,-0.10703939321507613,1318.2033727169037
Q1c1-047,exp_Q1c1_finite_size_scaling,2.0,0.4,0.5,6,0.7192,0.28080000000000005,0.7192,0.28080000000000005,-0.0461953326069087,1318.1525337696075
Q1c1-048,exp_Q1c1_finite_size_scaling,2.0,0.4,0.5,7,0.7594,0.24060000000000004,0.7594,0.24060000000000004,-0.07957525447768286,1318.2870452404022
Q1c1-049,exp_Q1c1_finite_size_scaling,2.0,0.4,0.5,8,0.7721,0.2279,0.7721,0.2279,-0.0671865105851077,1319.5901427268982
Q1c1-050,exp_Q1c1_finite_size_scaling,2.0,0.4,0.5,9,0.8157,0.18430000000000002,0.8157,0.18430000000000002,-0.09347890009888575,1321.4745848178864
