experiment_id,experiment,width_mult,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q1c-001,exp_Q1c_finite_size_scaling,2.0,0.4,0.42,0,0.8895,0.11050000000000004,0.8895,0.11050000000000004,-0.17580593723227622,1315.0587482452393
Q1c-002,exp_Q1c_finite_size_scaling,2.0,0.4,0.42,1,0.886,0.11399999999999999,0.8874,0.11260000000000003,-0.1748623149777847,1315.6602611541748
Q1c-003,exp_Q1c_finite_size_scaling,2.0,0.4,0.42,2,0.8908,0.10919999999999996,0.8912,0.10880000000000001,-0.1751868834467076,1313.5167338848114
Q1c-004,exp_Q1c_finite_size_scaling,2.0,0.4,0.42,3,0.8864,0.11360000000000003,0.8873,0.11270000000000002,-0.1848495556342971,1317.1564104557037
Q1c-005,exp_Q1c_finite_size_scaling,2.0,0.4,0.42,4,0.8839,0.11609999999999998,0.8839,0.11609999999999998,-0.1746712249880526,1314.8051660060883
Q1c-006,exp_Q1c_finite_size_scaling,2.0,0.4,0.42,5,0.8861,0.1139,0.8861,0.1139,-0.17326745215510564,1319.0207357406616
Q1c-007,exp_Q1c_finite_size_scaling,2.0,0.4,0.42,6,0.8894,0.11060000000000003,0.8894,0.11060000000000003,-0.17362104955102597,1319.1814677715302
Q1c-008,exp_Q1c_finite_size_scaling,2.0,0.4,0.42,7,0.8938,0.10619999999999996,0.8938,0.10619999999999996,-0.18007193098582114,1319.9856162071228
Q1c-009,exp_Q1c_finite_size_scaling,2.0,0.4,0.42,8,0.8858,0.11419999999999997,0.8858,0.11419999999999997,-0.16974918614762924,1320.137567281723
Q1c-010,exp_Q1c_finite_size_scaling,2.0,0.4,0.42,9,0.8882,0.11180000000000001,0.8886,0.11140000000000005,-0.17644954758177736,1319.9391980171204
Q1c-011,exp_Q1c_finite_size_scaling,2.0,0.4,0.44,0,0.8845,0.11550000000000005,0.8845,0.11550000000000005,-0.16373245996193797,1320.007482290268
Q1c-012,exp_Q1c_finite_size_scaling,2.0,0.4,0.44,1,0.8813,0.11870000000000003,0.8843,0.11570000000000003,-0.17032570506879058,1321.4576830863953
Q1c-013,exp_Q1c_finite_size_scaling,2.0,0.4,0.44,2,0.8787,0.12129999999999996,0.8787,0.12129999999999996,-0.1566799136422508,1320.8784129619598
Q1c-014,exp_Q1c_finite_size_scaling,2.0,0.4,0.44,3,0.8706,0.12939999999999996,0.8706,0.12939999999999996,-0.16264442320159345,1322.3972618579865
Q1c-015,exp_Q1c_finite_size_scaling,2.0,0.4,0.44,4,0.8775,0.12250000000000005,0.8775,0.12250000000000005,-0.15641017899649545,1322.1775171756744
Q1c-016,exp_Q1c_finite_size_scaling,2.0,0.4,0.44,5,0.8734,0.12660000000000005,0.8734,0.12660000000000005,-0.16101653507305427,1320.917904138565
Q1c-017,exp_Q1c_finite_size_scaling,2.0,0.4,0.44,6,0.8837,0.11629999999999996,0.8837,0.11629999999999996,-0.16594192751419581,1327.9966399669647
Q1c-018,exp_Q1c_finite_size_scaling,2.0,0.4,0.44,7,0.8822,0.11780000000000002,0.8822,0.11780000000000002,-0.16987584037663045,1326.5546565055847
Q1c-019,exp_Q1c_finite_size_scaling,2.0,0.4,0.44,8,0.8831,0.1169,0.8831,0.1169,-0.16869397877331832,1322.9505355358124
Q1c-020,exp_Q1c_finite_size_scaling,2.0,0.4,0.44,9,0.8839,0.11609999999999998,0.8839,0.11609999999999998,-0.16182789615069143,1324.3701372146606
Q1c-021,exp_Q1c_finite_size_scaling,2.0,0.4,0.46,0,0.8777,0.12229999999999996,0.8777,0.12229999999999996,-0.1552166898858633,1320.1380474567413
Q1c-022,exp_Q1c_finite_size_scaling,2.0,0.4,0.46,1,0.8754,0.12460000000000004,0.8754,0.12460000000000004,-0.14636117718190822,1323.374922990799
Q1c-023,exp_Q1c_finite_size_scaling,2.0,0.4,0.46,2,0.8708,0.12919999999999998,0.8708,0.12919999999999998,-0.14521060616975384,1322.1667785644531
Q1c-024,exp_Q1c_finite_size_scaling,2.0,0.4,0.46,3,0.8752,0.12480000000000002,0.8752,0.12480000000000002,-0.1524349523679893,1320.9311819076538
Q1c-025,exp_Q1c_finite_size_scaling,2.0,0.4,0.46,4,0.868,0.132,0.868,0.132,-0.14565260483029807,1326.836353778839
Q1c-026,exp_Q1c_finite_size_scaling,2.0,0.4,0.46,5,0.8706,0.12939999999999996,0.8706,0.12939999999999996,-0.15811077780158578,1331.8924703598022
Q1c-027,exp_Q1c_finite_size_scaling,2.0,0.4,0.46,6,0.8759,0.12409999999999999,0.8759,0.12409999999999999,-0.14044101773782003,1332.2724342346191
Q1c-028,exp_Q1c_finite_size_scaling,2.0,0.4,0.46,7,0.877,0.123,0.877,0.123,-0.16210229491433353,1331.7823450565338
Q1c-029,exp_Q1c_finite_size_scaling,2.0,0.4,0.46,8,0.8697,0.13029999999999997,0.8697,0.13029999999999997,-0.15602721433654457,1332.3870739936829
Q1c-030,exp_Q1c_finite_size_scaling,2.0,0.4,0.46,9,0.8697,0.13029999999999997,0.8697,0.13029999999999997,-0.14887876994436255,1332.5774536132812
Q1c-031,exp_Q1c_finite_size_scaling,2.0,0.4,0.48,0,0.8654,0.13460000000000005,0.8654,0.13460000000000005,-0.1341379334521836,1322.3200416564941
Q1c-032,exp_Q1c_finite_size_scaling,2.0,0.4,0.48,1,0.8306,0.1694,0.8306,0.1694,-0.11784462157904756,1317.7699615955353
Q1c-033,exp_Q1c_finite_size_scaling,2.0,0.4,0.48,2,0.8525,0.14749999999999996,0.8525,0.14749999999999996,-0.13159388821077006,1318.5830144882202
Q1c-034,exp_Q1c_finite_size_scaling,2.0,0.4,0.48,3,0.8593,0.14070000000000005,0.8593,0.14070000000000005,-0.13007539985219746,1317.8091859817505
Q1c-035,exp_Q1c_finite_size_scaling,2.0,0.4,0.48,4,0.8422,0.15780000000000005,0.8422,0.15780000000000005,-0.12393030431490436,1318.031099319458
Q1c-036,exp_Q1c_finite_size_scaling,2.0,0.4,0.48,5,0.8391,0.16090000000000004,0.8391,0.16090000000000004,-0.1237272500637586,1317.6022064685822
Q1c1-037,exp_Q1c1_finite_size_scaling,2.0,0.4,0.48,6,0.8394,0.16059999999999997,0.8394,0.16059999999999997,-0.12184224941586004,1323.2114675045013
Q1c1-038,exp_Q1c1_finite_size_scaling,2.0,0.4,0.48,7,0.8493,0.15069999999999995,0.8503,0.14970000000000006,-0.13408301351220128,1317.0463738441467
Q1c1-039,exp_Q1c1_finite_size_scaling,2.0,0.4,0.48,8,0.8586,0.14139999999999997,0.8586,0.14139999999999997,-0.1205067304491834,1317.829791545868
Q1c1-040,exp_Q1c1_finite_size_scaling,2.0,0.4,0.48,9,0.8507,0.1493,0.8507,0.1493,-0.13408222612347254,1319.3768804073334
