experiment_id,lambda,seed,final_error,avg_cos,phase,time
S2e-240,0.5,240,0.21440000000000003,-0.05376742461866137,intermediate,646.2634842395782
S2e-241,0.5,241,0.26070000000000004,-0.044664443918968295,intermediate,647.0093896389008
S2e-242,0.5,242,0.2358,-0.028770194262339222,intermediate,646.9238519668579
S2e-243,0.5,243,0.21319999999999995,-0.0750074275706735,intermediate,646.6461107730865
S2e-244,0.5,244,0.24339999999999995,-0.02626695538540751,intermediate,646.9755129814148
S2e-245,0.5,245,0.4317,-0.03240940189372739,collapsed,646.9599983692169
S2e-246,0.5,246,0.3991,0.010247111556272273,intermediate,656.1566598415375
S2e-247,0.5,247,0.37839999999999996,-0.018072946361350418,intermediate,647.5187261104584
S2e-248,0.5,248,0.2734,-0.017900510183784978,intermediate,647.1535665988922
S2e-249,0.5,249,0.27869999999999995,-0.03743885065484744,intermediate,647.7115790843964
S2e-250,0.5,250,0.2669,-0.032093395809763246,intermediate,647.5632057189941
S2e-251,0.5,251,0.24560000000000004,-0.023248088312981533,intermediate,647.349287033081
S2e-252,0.5,252,0.2945,-0.031154193609426676,intermediate,647.342621088028
S2e-253,0.5,253,0.23660000000000003,-0.03658797074839287,intermediate,647.194970369339
S2e-254,0.5,254,0.20489999999999997,-0.061364055434898195,intermediate,646.9442443847656
S2e-255,0.5,255,0.3198,-0.029572697974389835,intermediate,647.2043974399567
S2e-256,0.5,256,0.2157,-0.08790645289218185,intermediate,647.2457978725433
S2e-257,0.5,257,0.5284,-0.027934978828160806,collapsed,647.2645609378815
S2e-258,0.5,258,0.2946,-0.047563940117210476,intermediate,646.3196082115173
S2e-259,0.5,259,0.30489999999999995,-0.03610445091799935,intermediate,647.0293574333191
S2e-260,0.5,260,0.32730000000000004,-0.046862657860774384,intermediate,646.3831532001495
S2e-261,0.5,261,0.275,-0.011400216514100938,intermediate,646.4563131332397
S2e-262,0.5,262,0.3571,-0.0576943935711728,intermediate,646.4896669387817
S2e-263,0.5,263,0.24109999999999998,-0.06429805316447937,intermediate,647.3021376132965
S2e-264,0.5,264,0.28469999999999995,-0.024203946766448298,intermediate,658.0860493183136
S2e-265,0.5,265,0.37360000000000004,-0.028460956224221352,intermediate,646.7939596176147
S2e-266,0.5,266,0.21189999999999998,-0.05110030716809869,intermediate,646.5549283027649
S2e-267,0.5,267,0.3065,-0.029536894856386685,intermediate,646.4652237892151
S2e-268,0.5,268,0.2136,-0.018491640959115582,intermediate,646.560861825943
S2e-269,0.5,269,0.36029999999999995,-0.013625508929419865,intermediate,646.460165977478
S2e-270,0.5,270,0.22950000000000004,-0.06044971551756226,intermediate,646.7622895240784
S2e-271,0.5,271,0.32020000000000004,-0.016143728779125194,intermediate,646.3978977203369
S2e-272,0.5,272,0.27270000000000005,0.002345196555207637,intermediate,646.400155544281
S2e-273,0.5,273,0.3144,-0.016542532917371077,intermediate,646.4573593139648
S2e-274,0.5,274,0.3408,-0.03993458344129494,intermediate,646.2595589160919
S2e-275,0.5,275,0.39359999999999995,-0.031139680940835454,intermediate,646.8939988613129
S2e-276,0.5,276,0.2881,-0.028248405209005987,intermediate,646.7319107055664
S2e-277,0.5,277,0.25760000000000005,-0.047946424128158666,intermediate,646.3285791873932
S2e-278,0.5,278,0.25339999999999996,-0.030908729670635675,intermediate,646.4449882507324
S2e-279,0.5,279,0.273,-0.028880193477029664,intermediate,646.6264662742615
S2e-280,0.5,280,0.34230000000000005,-0.02041717113173277,intermediate,646.5941445827484
S2e-281,0.5,281,0.246,-0.041285525399951596,intermediate,650.7864375114441
S2e-282,0.5,282,0.35340000000000005,-0.0684844866337769,intermediate,651.2915623188019
S2e-283,0.5,283,0.23729999999999996,-0.05308469868589392,intermediate,646.5503463745117
S2e-284,0.5,284,0.25270000000000004,-0.0311287967741269,intermediate,646.6380090713501
S2e-285,0.5,285,0.21750000000000003,-0.09105662148919226,intermediate,646.726015329361
S2e-286,0.5,286,0.2841,-0.022332404407432626,intermediate,646.6716170310974
S2e-287,0.5,287,0.2538,-0.05332572356712818,intermediate,646.6850917339325
S2e-288,0.5,288,0.2643,-0.026237614828305045,intermediate,647.7861473560333
S2e-289,0.5,289,0.4142,-0.024823118142566256,collapsed,648.4678566455841
S2e-290,0.5,290,0.38949999999999996,-0.03163305130424286,intermediate,647.6286098957062
S2e-291,0.5,291,0.37439999999999996,-0.010541874529391157,intermediate,647.9207031726837
S2e-292,0.5,292,0.19110000000000005,-0.05399873814987178,ordered,646.5551354885101
S2e-293,0.5,293,0.38480000000000003,-0.031166597842422972,intermediate,646.5222437381744
S2e-294,0.5,294,0.3177,-0.0012093767158185813,intermediate,646.2882633209229
S2e-295,0.5,295,0.2931,-0.029212437944132735,intermediate,646.6282935142517
S2e-296,0.5,296,0.2943,-0.018997202712251943,intermediate,646.2670331001282
S2e-297,0.5,297,0.22599999999999998,-0.08372288071425697,intermediate,646.4800884723663
S2e-298,0.5,298,0.24450000000000005,-0.042676175206600296,intermediate,646.388293504715
S2e-299,0.5,299,0.32720000000000005,-0.041147046723600235,intermediate,653.2657520771027
