seed,lambda,error,branch
0,0.7,0.5292,collapse_down
0,0.68,0.5232,collapse_down
0,0.66,0.5184,collapse_down
0,0.64,0.5159,collapse_down
0,0.62,0.5004,collapse_down
0,0.6,0.49839999999999995,collapse_down
0,0.58,0.48350000000000004,collapse_down
0,0.56,0.4769,collapse_down
0,0.54,0.47,collapse_down
0,0.52,0.4778,collapse_down
0,0.5,0.4625,collapse_down
0,0.48,0.46719999999999995,collapse_down
0,0.46,0.45730000000000004,collapse_down
0,0.44,0.43989999999999996,collapse_down
0,0.42,0.4404,collapse_down
0,0.4,0.4475,collapse_down
0,0.38,0.4478,collapse_down
0,0.36,0.4326,collapse_down
0,0.34,0.42469999999999997,collapse_down
0,0.32,0.4245,collapse_down
0,0.3,0.41790000000000005,collapse_down
1,0.7,0.9,collapse_down
1,0.68,0.9,collapse_down
1,0.66,0.9,collapse_down
1,0.64,0.9,collapse_down
1,0.62,0.9,collapse_down
1,0.6,0.9,collapse_down
1,0.58,0.9,collapse_down
1,0.56,0.9,collapse_down
1,0.54,0.9,collapse_down
1,0.52,0.9,collapse_down
1,0.5,0.9,collapse_down
1,0.48,0.9,collapse_down
1,0.46,0.9,collapse_down
1,0.44,0.9,collapse_down
1,0.42,0.9,collapse_down
1,0.4,0.9,collapse_down
1,0.38,0.9,collapse_down
1,0.36,0.9,collapse_down
1,0.34,0.9,collapse_down
1,0.32,0.9,collapse_down
1,0.3,0.9,collapse_down
2,0.7,0.48550000000000004,collapse_down
2,0.68,0.49260000000000004,collapse_down
2,0.66,0.49,collapse_down
2,0.64,0.4658,collapse_down
2,0.62,0.45699999999999996,collapse_down
2,0.6,0.4538,collapse_down
2,0.58,0.45130000000000003,collapse_down
2,0.56,0.42879999999999996,collapse_down
2,0.54,0.43100000000000005,collapse_down
2,0.52,0.4152,collapse_down
2,0.5,0.4003,collapse_down
2,0.48,0.4013,collapse_down
2,0.46,0.41300000000000003,collapse_down
2,0.44,0.393,collapse_down
2,0.42,0.39670000000000005,collapse_down
2,0.4,0.38149999999999995,collapse_down
2,0.38,0.3851,collapse_down
2,0.36,0.37539999999999996,collapse_down
2,0.34,0.3758,collapse_down
2,0.32,0.3769,collapse_down
2,0.3,0.36819999999999997,collapse_down
3,0.7,0.9,collapse_down
3,0.68,0.9,collapse_down
3,0.66,0.9,collapse_down
3,0.64,0.9,collapse_down
3,0.62,0.9,collapse_down
3,0.6,0.9,collapse_down
3,0.58,0.9,collapse_down
3,0.56,0.9,collapse_down
3,0.54,0.9,collapse_down
3,0.52,0.9,collapse_down
3,0.5,0.9,collapse_down
3,0.48,0.9,collapse_down
3,0.46,0.9,collapse_down
3,0.44,0.9,collapse_down
3,0.42,0.9,collapse_down
3,0.4,0.9,collapse_down
3,0.38,0.9,collapse_down
3,0.36,0.9,collapse_down
3,0.34,0.9,collapse_down
3,0.32,0.9,collapse_down
3,0.3,0.9,collapse_down
4,0.7,0.47619999999999996,collapse_down
4,0.68,0.46499999999999997,collapse_down
4,0.66,0.45330000000000004,collapse_down
4,0.64,0.44999999999999996,collapse_down
4,0.62,0.44620000000000004,collapse_down
4,0.6,0.4393,collapse_down
4,0.58,0.4404,collapse_down
4,0.56,0.43000000000000005,collapse_down
4,0.54,0.42889999999999995,collapse_down
4,0.52,0.41559999999999997,collapse_down
4,0.5,0.4133,collapse_down
4,0.48,0.42190000000000005,collapse_down
4,0.46,0.41090000000000004,collapse_down
4,0.44,0.40259999999999996,collapse_down
4,0.42,0.401,collapse_down
4,0.4,0.39470000000000005,collapse_down
4,0.38,0.3972,collapse_down
4,0.36,0.39080000000000004,collapse_down
4,0.34,0.38649999999999995,collapse_down
4,0.32,0.39139999999999997,collapse_down
4,0.3,0.38470000000000004,collapse_down
