experiment_id,experiment,lambda,noise_rate,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
M3-001,exp_M3_fine_sweep_eta08,0.38,0.8,0,0.7711,0.2289,0.7711,0.2289,-0.41155942663359324,616.5013988018036
M3-002,exp_M3_fine_sweep_eta08,0.38,0.8,1,0.7733,0.2267,0.7733,0.2267,-0.41521255464330664,615.7234897613525
M3-003,exp_M3_fine_sweep_eta08,0.38,0.8,2,0.7847,0.21530000000000005,0.7847,0.21530000000000005,-0.4141706482147178,615.4770750999451
M3-004,exp_M3_fine_sweep_eta08,0.38,0.8,3,0.7815,0.21850000000000003,0.7815,0.21850000000000003,-0.4045757178378602,615.6172668933868
M3-005,exp_M3_fine_sweep_eta08,0.38,0.8,4,0.7859,0.21409999999999996,0.7859,0.21409999999999996,-0.41598609194317104,615.8435282707214
M3-006,exp_M3_fine_sweep_eta08,0.38,0.8,5,0.7718,0.22819999999999996,0.7718,0.22819999999999996,-0.40850880255160904,615.1977531909943
M3-007,exp_M3_fine_sweep_eta08,0.38,0.8,6,0.7737,0.22629999999999995,0.7737,0.22629999999999995,-0.41258473565663467,614.9634425640106
M3-008,exp_M3_fine_sweep_eta08,0.38,0.8,7,0.7785,0.22150000000000003,0.7785,0.22150000000000003,-0.4091428098473996,615.4810061454773
M3-009,exp_M3_fine_sweep_eta08,0.38,0.8,8,0.759,0.241,0.759,0.241,-0.4195345554121483,615.0592677593231
M3-010,exp_M3_fine_sweep_eta08,0.38,0.8,9,0.77,0.22999999999999998,0.7719,0.22809999999999997,-0.41428503160493874,615.7965352535248
M3-011,exp_M3_fine_sweep_eta08,0.4,0.8,0,0.7288,0.2712,0.7288,0.2712,-0.4414780027185185,615.9801263809204
M3-012,exp_M3_fine_sweep_eta08,0.4,0.8,1,0.7676,0.23240000000000005,0.7676,0.23240000000000005,-0.42278010365387236,615.4783489704132
M3-013,exp_M3_fine_sweep_eta08,0.4,0.8,2,0.7434,0.25660000000000005,0.7434,0.25660000000000005,-0.43414110083393276,615.8346028327942
M3-014,exp_M3_fine_sweep_eta08,0.4,0.8,3,0.7369,0.2631,0.7369,0.2631,-0.4347356755103891,615.991614818573
M3-015,exp_M3_fine_sweep_eta08,0.4,0.8,4,0.767,0.23299999999999998,0.767,0.23299999999999998,-0.43898120282484115,616.3326334953308
M3-016,exp_M3_fine_sweep_eta08,0.4,0.8,5,0.769,0.23099999999999998,0.769,0.23099999999999998,-0.42828475044708314,616.2382574081421
M3-017,exp_M3_fine_sweep_eta08,0.4,0.8,6,0.7404,0.25960000000000005,0.7404,0.25960000000000005,-0.4347160723717669,615.8376622200012
M3-018,exp_M3_fine_sweep_eta08,0.4,0.8,7,0.7441,0.2559,0.7441,0.2559,-0.4409084547498167,615.3079106807709
M3-019,exp_M3_fine_sweep_eta08,0.4,0.8,8,0.7729,0.22709999999999997,0.7729,0.22709999999999997,-0.43754945520458455,615.4824314117432
M3-020,exp_M3_fine_sweep_eta08,0.4,0.8,9,0.7706,0.22940000000000005,0.7706,0.22940000000000005,-0.4272039465719882,616.1206104755402
M3-021,exp_M3_fine_sweep_eta08,0.42,0.8,0,0.7305,0.26949999999999996,0.7305,0.26949999999999996,-0.42400225353921556,615.3966901302338
M3-022,exp_M3_fine_sweep_eta08,0.42,0.8,1,0.7578,0.24219999999999997,0.7578,0.24219999999999997,-0.40106260856384274,615.4575037956238
M3-023,exp_M3_fine_sweep_eta08,0.42,0.8,2,0.707,0.29300000000000004,0.707,0.29300000000000004,-0.46503604055044406,616.5719239711761
M3-024,exp_M3_fine_sweep_eta08,0.42,0.8,3,0.6481,0.3519,0.6481,0.3519,-0.3627345709907703,615.8384795188904
M3-025,exp_M3_fine_sweep_eta08,0.42,0.8,4,0.6768,0.32320000000000004,0.6768,0.32320000000000004,-0.40878538720720475,616.7007427215576
M3-026,exp_M3_fine_sweep_eta08,0.42,0.8,5,0.7092,0.29079999999999995,0.7092,0.29079999999999995,-0.4175725780378024,615.9375615119934
M3-027,exp_M3_fine_sweep_eta08,0.42,0.8,6,0.6591,0.3409,0.6591,0.3409,-0.41107572221809713,616.4009149074554
M3-028,exp_M3_fine_sweep_eta08,0.42,0.8,7,0.73,0.27,0.73,0.27,-0.4584302814683328,615.8387043476105
M3-029,exp_M3_fine_sweep_eta08,0.42,0.8,8,0.6776,0.3224,0.6776,0.3224,-0.4492609235625953,616.0720634460449
M3-030,exp_M3_fine_sweep_eta08,0.42,0.8,9,0.7143,0.28569999999999995,0.7143,0.28569999999999995,-0.43241895868148034,616.1336975097656
M3-031,exp_M3_fine_sweep_eta08,0.44,0.8,0,0.6977,0.3023,0.6977,0.3023,-0.41901349219949674,616.3809673786163
M3-032,exp_M3_fine_sweep_eta08,0.44,0.8,1,0.6922,0.30779999999999996,0.6922,0.30779999999999996,-0.3933118722710686,616.2175912857056
M3-033,exp_M3_fine_sweep_eta08,0.44,0.8,2,0.6019,0.3981,0.6019,0.3981,-0.3227551027422186,616.6265683174133
M3-034,exp_M3_fine_sweep_eta08,0.44,0.8,3,0.6195,0.38049999999999995,0.6195,0.38049999999999995,-0.3394277883188991,616.1104497909546
M3-035,exp_M3_fine_sweep_eta08,0.44,0.8,4,0.6823,0.3177,0.6823,0.3177,-0.37988103493793346,616.5668725967407
M3-036,exp_M3_fine_sweep_eta08,0.44,0.8,5,0.649,0.351,0.649,0.351,-0.4018157011489383,616.4685478210449
M3-037,exp_M3_fine_sweep_eta08,0.44,0.8,6,0.6472,0.3528,0.6472,0.3528,-0.40060193286230794,616.5615627765656
M3-038,exp_M3_fine_sweep_eta08,0.44,0.8,7,0.6588,0.34119999999999995,0.6588,0.34119999999999995,-0.39964524323665174,616.520411491394
M3-039,exp_M3_fine_sweep_eta08,0.44,0.8,8,0.6842,0.31579999999999997,0.6842,0.31579999999999997,-0.42321508011353226,616.0493116378784
M3-040,exp_M3_fine_sweep_eta08,0.44,0.8,9,0.7075,0.2925,0.7075,0.2925,-0.4055928083566161,616.9873614311218
M3-041,exp_M3_fine_sweep_eta08,0.46,0.8,0,0.606,0.394,0.606,0.394,-0.28284189028422446,616.0598125457764
M3-042,exp_M3_fine_sweep_eta08,0.46,0.8,1,0.461,0.5389999999999999,0.461,0.5389999999999999,-0.4050681415014208,616.5558657646179
M3-043,exp_M3_fine_sweep_eta08,0.46,0.8,2,0.4165,0.5835,0.4165,0.5835,-0.2502409623706331,616.5685186386108
M3-044,exp_M3_fine_sweep_eta08,0.46,0.8,3,0.5256,0.47440000000000004,0.5256,0.47440000000000004,-0.48571802353744326,616.0608286857605
M3-045,exp_M3_fine_sweep_eta08,0.46,0.8,4,0.4821,0.5179,0.4821,0.5179,-0.2651769319640902,616.6281735897064
M3-046,exp_M3_fine_sweep_eta08,0.46,0.8,5,0.5623,0.4377,0.5623,0.4377,-0.3309736299519367,616.3557076454163
M3-047,exp_M3_fine_sweep_eta08,0.46,0.8,6,0.4097,0.5903,0.4097,0.5903,-0.30131858232815584,616.4267675876617
M3-048,exp_M3_fine_sweep_eta08,0.46,0.8,7,0.6563,0.3437,0.6563,0.3437,-0.32091126629945416,616.5810663700104
M3-049,exp_M3_fine_sweep_eta08,0.46,0.8,8,0.4788,0.5212,0.4788,0.5212,-0.23328618683801516,616.5219094753265
M3-050,exp_M3_fine_sweep_eta08,0.46,0.8,9,0.5553,0.4447,0.5553,0.4447,-0.30580920776136167,616.7695603370667
M3-051,exp_M3_fine_sweep_eta08,0.48,0.8,0,0.4699,0.5301,0.4699,0.5301,-0.17574411603314086,616.4599208831787
M3-052,exp_M3_fine_sweep_eta08,0.48,0.8,1,0.4261,0.5739000000000001,0.4261,0.5739000000000001,-0.24961509093847603,616.500186920166
M3-053,exp_M3_fine_sweep_eta08,0.48,0.8,2,0.5444,0.4556,0.5444,0.4556,-0.19958845461780828,616.4024887084961
M3-054,exp_M3_fine_sweep_eta08,0.48,0.8,3,0.5207,0.47929999999999995,0.5207,0.47929999999999995,-0.19452900791900135,616.3982949256897
M3-055,exp_M3_fine_sweep_eta08,0.48,0.8,4,0.433,0.567,0.433,0.567,-0.21340673844052405,616.3752677440643
M3-056,exp_M3_fine_sweep_eta08,0.48,0.8,5,0.2617,0.7383,0.2617,0.7383,-0.297665183671865,616.2403242588043
M3-057,exp_M3_fine_sweep_eta08,0.48,0.8,6,0.4313,0.5687,0.4313,0.5687,-0.1898229316965235,616.1764688491821
M3-058,exp_M3_fine_sweep_eta08,0.48,0.8,7,0.4161,0.5839,0.4161,0.5839,-0.23767346245739376,633.0221602916718
M3-059,exp_M3_fine_sweep_eta08,0.48,0.8,8,0.4803,0.5197,0.4803,0.5197,-0.2219225462426444,632.1929864883423
M3-060,exp_M3_fine_sweep_eta08,0.48,0.8,9,0.3799,0.6201,0.3802,0.6198,-0.2357184088243207,632.7197873592377
M3-061,exp_M3_fine_sweep_eta08,0.5,0.8,0,0.2747,0.7253000000000001,0.2864,0.7136,-0.20459072269082593,632.8635025024414
M3-062,exp_M3_fine_sweep_eta08,0.5,0.8,1,0.3256,0.6744,0.3256,0.6744,-0.2422995411847548,631.9636549949646
M3-063,exp_M3_fine_sweep_eta08,0.5,0.8,2,0.1,0.9,0.2097,0.7903,0.046978408305153534,631.8965125083923
M3-064,exp_M3_fine_sweep_eta08,0.5,0.8,3,0.3089,0.6911,0.309,0.6910000000000001,-0.20656196028693394,631.9085273742676
M3-065,exp_M3_fine_sweep_eta08,0.5,0.8,4,0.4681,0.5319,0.4681,0.5319,-0.16978085662168454,631.9901621341705
M3-066,exp_M3_fine_sweep_eta08,0.5,0.8,5,0.4434,0.5566,0.4434,0.5566,-0.18230706643425407,631.2078337669373
M3-067,exp_M3_fine_sweep_eta08,0.5,0.8,6,0.4311,0.5689,0.4311,0.5689,-0.18928211789401492,631.9438164234161
M3-068,exp_M3_fine_sweep_eta08,0.5,0.8,7,0.3812,0.6188,0.3812,0.6188,-0.24890815246520112,630.682576417923
M3-069,exp_M3_fine_sweep_eta08,0.5,0.8,8,0.3492,0.6508,0.3492,0.6508,-0.20656278927495272,622.1950778961182
M3-070,exp_M3_fine_sweep_eta08,0.5,0.8,9,0.1,0.9,0.2014,0.7986,-0.023495699899432322,622.9401144981384
