experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,avg_cos
R2b-002,0.8,slow,1,7,up,0.34,0.5145,-0.3169953582086125
R2b-002,0.8,slow,1,8,up,0.36,0.4183,-0.35143613099709764
R2b-002,0.8,slow,1,9,up,0.38,0.46730000000000005,-0.36967819745709396
R2b-002,0.8,slow,1,10,up,0.39,0.2794,-0.46687990883175207
R2b-002,0.8,slow,1,11,up,0.4,0.2642,-0.48215759880080516
R2b-002,0.8,slow,1,12,up,0.41,0.24409999999999998,-0.47372836224278625
R2b-002,0.8,slow,1,13,up,0.42,0.24270000000000003,-0.4975853332755517
R2b-002,0.8,slow,1,14,up,0.43,0.23529999999999995,-0.5037286797044228
R2b-002,0.8,slow,1,15,up,0.44,0.21299999999999997,-0.5508892969513426
R2b-002,0.8,slow,1,16,up,0.45,0.20989999999999998,-0.5603313275745937
R2b-002,0.8,slow,1,17,up,0.46,0.2067,-0.5548683427730385
R2b-002,0.8,slow,1,18,up,0.47,0.20479999999999998,-0.5542225372426364
R2b-002,0.8,slow,1,19,up,0.48,0.20389999999999997,-0.5518332582955457
R2b-002,0.8,slow,1,20,up,0.49,0.20389999999999997,-0.5527923102585637
R2b-002,0.8,slow,1,21,up,0.5,0.2015,-0.5366441986086418
R2b-002,0.8,slow,1,22,up,0.51,0.19999999999999996,-0.5234646068847909
R2b-002,0.8,slow,1,23,up,0.52,0.19499999999999995,-0.5029718754242878
R2b-002,0.8,slow,1,24,up,0.53,0.1916,-0.4784652055526266
R2b-002,0.8,slow,1,25,up,0.54,0.19069999999999998,-0.471911934413472
R2b-002,0.8,slow,1,26,up,0.56,0.19440000000000002,-0.4340279515148426
R2b-002,0.8,slow,1,27,up,0.58,0.18730000000000002,-0.3998772191758059
R2b-002,0.8,slow,1,28,up,0.6,0.18630000000000002,-0.37048904901864577
R2b-002,0.8,slow,1,29,up,0.62,0.17989999999999995,-0.35709186339256715
R2b-002,0.8,slow,1,30,up,0.64,0.18030000000000002,-0.32325783022204224
R2b-002,0.8,slow,1,31,down,0.63,0.18120000000000003,-0.3408702776140096
R2b-002,0.8,slow,1,32,down,0.61,0.17779999999999996,-0.36657005776556173
R2b-002,0.8,slow,1,33,down,0.59,0.17889999999999995,-0.3890965153672257
R2b-002,0.8,slow,1,34,down,0.57,0.17110000000000003,-0.4201664713268377
R2b-002,0.8,slow,1,35,down,0.55,0.1745,-0.44072436047147734
R2b-002,0.8,slow,1,36,down,0.53,0.16990000000000005,-0.4427010267972946
R2b-002,0.8,slow,1,37,down,0.52,0.17049999999999998,-0.45427454506256143
R2b-002,0.8,slow,1,38,down,0.51,0.1683,-0.45274853584717734
R2b-002,0.8,slow,1,39,down,0.5,0.17490000000000006,-0.43660730594883157
R2b-002,0.8,slow,1,40,down,0.49,0.1664,-0.4394567019629235
R2b-002,0.8,slow,1,41,down,0.48,0.17059999999999997,-0.43865726203942784
R2b-002,0.8,slow,1,42,down,0.47,0.16590000000000005,-0.4161926237296085
R2b-002,0.8,slow,1,43,down,0.46,0.17000000000000004,-0.39206292655090896
R2b-002,0.8,slow,1,44,down,0.45,0.16549999999999998,-0.3884470128283209
R2b-002,0.8,slow,1,45,down,0.44,0.16910000000000003,-0.3668028050083287
R2b-002,0.8,slow,1,46,down,0.43,0.17149999999999999,-0.3551237984579437
R2b-002,0.8,slow,1,47,down,0.42,0.17079999999999995,-0.34497292073709623
R2b-002,0.8,slow,1,48,down,0.41,0.1684,-0.33035640198053146
R2b-002,0.8,slow,1,49,down,0.4,0.1764,-0.3132630248306965
R2b-002,0.8,slow,1,50,down,0.39,0.17520000000000002,-0.2935543440434398
R2b-002,0.8,slow,1,51,down,0.38,0.1773,-0.2920075476321639
R2b-002,0.8,slow,1,52,down,0.36,0.18159999999999998,-0.27223244940443914
R2b-002,0.8,slow,1,53,down,0.34,0.1834,-0.2483388970472983
R2b-002,0.8,slow,1,54,down,0.32,0.1906,-0.2354270458145409
R2b-002,0.8,slow,1,55,down,0.3,0.1985,-0.20767481575662994
R2b-002,0.8,slow,1,56,down,0.28,0.20340000000000003,-0.18669501993311
R2b-002,0.8,slow,1,57,down,0.26,0.21740000000000004,-0.17260747469429458
R2b-002,0.8,slow,1,58,down,0.24,0.2277,-0.1510513058747165
R2b-002,0.8,slow,1,59,down,0.22,0.24539999999999995,-0.13731026912716274
R2b-003,0.8,slow,2,0,up,0.2,0.7705,-0.18049753245146832
R2b-003,0.8,slow,2,1,up,0.22,0.6918,-0.20911532286459542
R2b-003,0.8,slow,2,2,up,0.24,0.6494,-0.22620520693230994
R2b-003,0.8,slow,2,3,up,0.26,0.6249,-0.24151018822128523
R2b-003,0.8,slow,2,4,up,0.28,0.6225,-0.24098199465768222
R2b-003,0.8,slow,2,5,up,0.3,0.4899,-0.28054181765883746
R2b-003,0.8,slow,2,6,up,0.32,0.4998,-0.2747686824628285
R2b-003,0.8,slow,2,7,up,0.34,0.5186999999999999,-0.3453887584524191
R2b-003,0.8,slow,2,8,up,0.36,0.39590000000000003,-0.3297921234874853
R2b-003,0.8,slow,2,9,up,0.38,0.4467,-0.3767928628212943
R2b-003,0.8,slow,2,10,up,0.39,0.2701,-0.4781085787226959
R2b-003,0.8,slow,2,11,up,0.4,0.25529999999999997,-0.49705345320458316
R2b-003,0.8,slow,2,12,up,0.41,0.24409999999999998,-0.511705565817502
R2b-003,0.8,slow,2,13,up,0.42,0.23709999999999998,-0.5140868502155859
R2b-003,0.8,slow,2,14,up,0.43,0.22919999999999996,-0.5312359407544136
R2b-003,0.8,slow,2,15,up,0.44,0.20940000000000003,-0.5761913892870046
R2b-003,0.8,slow,2,16,up,0.45,0.2066,-0.5909632822992851
R2b-003,0.8,slow,2,17,up,0.46,0.20350000000000001,-0.5988387485243836
R2b-003,0.8,slow,2,18,up,0.47,0.20330000000000004,-0.6034935414791107
R2b-003,0.8,slow,2,19,up,0.48,0.19920000000000004,-0.6024034418621842
R2b-003,0.8,slow,2,20,up,0.49,0.19989999999999997,-0.6020656460706069
R2b-003,0.8,slow,2,21,up,0.5,0.19630000000000003,-0.5961828478136841
R2b-003,0.8,slow,2,22,up,0.51,0.19369999999999998,-0.5867781208790078
R2b-003,0.8,slow,2,23,up,0.52,0.19279999999999997,-0.5731806277620549
R2b-003,0.8,slow,2,24,up,0.53,0.1886,-0.5433623051765014
R2b-003,0.8,slow,2,25,up,0.54,0.1875,-0.5357180443041178
R2b-003,0.8,slow,2,26,up,0.56,0.1824,-0.5062706012810979
R2b-003,0.8,slow,2,27,up,0.58,0.18510000000000004,-0.46613892517527755
R2b-003,0.8,slow,2,28,up,0.6,0.18210000000000004,-0.4257190194817222
R2b-003,0.8,slow,2,29,up,0.62,0.17910000000000004,-0.38898383020138255
R2b-003,0.8,slow,2,30,up,0.64,0.1805,-0.3615325864176361
R2b-003,0.8,slow,2,31,down,0.63,0.1764,-0.37845854187498285
R2b-003,0.8,slow,2,32,down,0.61,0.17769999999999997,-0.41237608677878673
R2b-003,0.8,slow,2,33,down,0.59,0.17769999999999997,-0.4303667032901122
R2b-003,0.8,slow,2,34,down,0.57,0.17779999999999996,-0.4671320866565315
R2b-003,0.8,slow,2,35,down,0.55,0.17149999999999999,-0.4958524795211091
R2b-003,0.8,slow,2,36,down,0.53,0.16769999999999996,-0.5184286860178928
R2b-003,0.8,slow,2,37,down,0.52,0.16810000000000003,-0.5227215401068026
R2b-003,0.8,slow,2,38,down,0.51,0.1664,-0.5210795785699572
R2b-003,0.8,slow,2,39,down,0.5,0.16500000000000004,-0.5299501666913227
R2b-003,0.8,slow,2,40,down,0.49,0.16459999999999997,-0.5316856089903383
R2b-003,0.8,slow,2,41,down,0.48,0.16259999999999997,-0.5105373444301742
R2b-003,0.8,slow,2,42,down,0.47,0.16449999999999998,-0.5203833408197578
R2b-003,0.8,slow,2,43,down,0.46,0.1614,-0.500603341858606
R2b-003,0.8,slow,2,44,down,0.45,0.15810000000000002,-0.47815110032655755
R2b-003,0.8,slow,2,45,down,0.44,0.1624,-0.4629811828537863
R2b-003,0.8,slow,2,46,down,0.43,0.1624,-0.4508800416120461
R2b-003,0.8,slow,2,47,down,0.42,0.16459999999999997,-0.4334672380770956
R2b-003,0.8,slow,2,48,down,0.41,0.1632,-0.4088728759361773
R2b-003,0.8,slow,2,49,down,0.4,0.16500000000000004,-0.41058383349861416
R2b-003,0.8,slow,2,50,down,0.39,0.16559999999999997,-0.38177191070756133
R2b-003,0.8,slow,2,51,down,0.38,0.16910000000000003,-0.3650196251668492
R2b-003,0.8,slow,2,52,down,0.36,0.17569999999999997,-0.34014054197742016
R2b-003,0.8,slow,2,53,down,0.34,0.1734,-0.31081467395534323
R2b-003,0.8,slow,2,54,down,0.32,0.17859999999999998,-0.2834602476534795
R2b-003,0.8,slow,2,55,down,0.3,0.18779999999999997,-0.2576580699533224
R2b-003,0.8,slow,2,56,down,0.28,0.19299999999999995,-0.2336994753532796
R2b-003,0.8,slow,2,57,down,0.26,0.2056,-0.2067616683602029
R2b-003,0.8,slow,2,58,down,0.24,0.2138,-0.18647059653077883
R2b-003,0.8,slow,2,59,down,0.22,0.2188,-0.1652170930019751
R2b-004,0.8,slow,3,0,up,0.2,0.7574,-0.1914466733911208
R2b-004,0.8,slow,3,1,up,0.22,0.7267,-0.22022486661503815
R2b-004,0.8,slow,3,2,up,0.24,0.647,-0.22974708703422578
R2b-004,0.8,slow,3,3,up,0.26,0.6422,-0.24063386138034415
R2b-004,0.8,slow,3,4,up,0.28,0.5215000000000001,-0.23196224480088115
R2b-004,0.8,slow,3,5,up,0.3,0.5367,-0.26662422073244746
R2b-004,0.8,slow,3,6,up,0.32,0.522,-0.28490972834786554
R2b-004,0.8,slow,3,7,up,0.34,0.5052,-0.33158015275768443
R2b-004,0.8,slow,3,8,up,0.36,0.4598,-0.33767583330960144
R2b-004,0.8,slow,3,9,up,0.38,0.4283,-0.38298231605630445
R2b-004,0.8,slow,3,10,up,0.39,0.25839999999999996,-0.4654366116286541
R2b-004,0.8,slow,3,11,up,0.4,0.24660000000000004,-0.47818208516252286
R2b-004,0.8,slow,3,12,up,0.41,0.23340000000000005,-0.4850318650810086
R2b-004,0.8,slow,3,13,up,0.42,0.23219999999999996,-0.4826657692996823
R2b-004,0.8,slow,3,14,up,0.43,0.22119999999999995,-0.49084422509281
R2b-004,0.8,slow,3,15,up,0.44,0.20099999999999996,-0.5354880103651358
R2b-004,0.8,slow,3,16,up,0.45,0.19720000000000004,-0.5340309865316566
R2b-004,0.8,slow,3,17,up,0.46,0.19669999999999999,-0.5471483263738302
R2b-004,0.8,slow,3,18,up,0.47,0.19169999999999998,-0.5479038453527859
R2b-004,0.8,slow,3,19,up,0.48,0.19089999999999996,-0.5456480227258741
R2b-004,0.8,slow,3,20,up,0.49,0.1895,-0.5422605782443163
R2b-004,0.8,slow,3,21,up,0.5,0.18869999999999998,-0.5502398254311814
R2b-004,0.8,slow,3,22,up,0.51,0.1865,-0.5334365229521479
R2b-004,0.8,slow,3,23,up,0.52,0.18359999999999999,-0.5340497711179207
R2b-004,0.8,slow,3,24,up,0.53,0.18130000000000002,-0.5054797496722669
R2b-004,0.8,slow,3,25,up,0.54,0.18059999999999998,-0.49397305900953253
R2b-004,0.8,slow,3,26,up,0.56,0.18259999999999998,-0.46636235029721745
R2b-004,0.8,slow,3,27,up,0.58,0.17600000000000005,-0.43876546256396237
R2b-004,0.8,slow,3,28,up,0.6,0.17610000000000003,-0.4052164768990205
R2b-004,0.8,slow,3,29,up,0.62,0.17589999999999995,-0.3635841303942155
R2b-004,0.8,slow,3,30,up,0.64,0.1724,-0.3343972635208344
R2b-004,0.8,slow,3,31,down,0.63,0.16820000000000002,-0.35138632828483773
R2b-004,0.8,slow,3,32,down,0.61,0.16779999999999995,-0.381313190624422
R2b-004,0.8,slow,3,33,down,0.59,0.1643,-0.40748185634004824
R2b-004,0.8,slow,3,34,down,0.57,0.16669999999999996,-0.4377465196410004
R2b-004,0.8,slow,3,35,down,0.55,0.1623,-0.4394563343756053
R2b-004,0.8,slow,3,36,down,0.53,0.1634,-0.458575537010115
R2b-004,0.8,slow,3,37,down,0.52,0.16569999999999996,-0.453097723272382
R2b-004,0.8,slow,3,38,down,0.51,0.16269999999999996,-0.45527579300865834
R2b-004,0.8,slow,3,39,down,0.5,0.16069999999999995,-0.44393892571025967
R2b-004,0.8,slow,3,40,down,0.49,0.16069999999999995,-0.4467803531763505
R2b-004,0.8,slow,3,41,down,0.48,0.16249999999999998,-0.43563366772568957
R2b-004,0.8,slow,3,42,down,0.47,0.15880000000000005,-0.4459159193294389
R2b-004,0.8,slow,3,43,down,0.46,0.15769999999999995,-0.4161449703482949
R2b-004,0.8,slow,3,44,down,0.45,0.1583,-0.41747987483228954
R2b-004,0.8,slow,3,45,down,0.44,0.1602,-0.39155782105363146
R2b-004,0.8,slow,3,46,down,0.43,0.16090000000000004,-0.3684751586038239
R2b-004,0.8,slow,3,47,down,0.42,0.16369999999999996,-0.36391559532102274
R2b-004,0.8,slow,3,48,down,0.41,0.1623,-0.34673538325088366
R2b-004,0.8,slow,3,49,down,0.4,0.16800000000000004,-0.3292561458537773
R2b-004,0.8,slow,3,50,down,0.39,0.16649999999999998,-0.3186830223671028
R2b-004,0.8,slow,3,51,down,0.38,0.16879999999999995,-0.3027104657067328
R2b-004,0.8,slow,3,52,down,0.36,0.1724,-0.2779821357784831
R2b-004,0.8,slow,3,53,down,0.34,0.1743,-0.26064093304531916
