experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,avg_cos
R2a-002,0.8,fast,1,12,up,0.41,0.6256999999999999,-0.41122317418684157
R2a-002,0.8,fast,1,13,up,0.42,0.6545000000000001,-0.39859551348134264
R2a-002,0.8,fast,1,14,up,0.43,0.7150000000000001,-0.40436377806817086
R2a-002,0.8,fast,1,15,up,0.44,0.7097,-0.3900083603850585
R2a-002,0.8,fast,1,16,up,0.45,0.657,-0.3521638996328931
R2a-002,0.8,fast,1,17,up,0.46,0.5880000000000001,-0.4006609072034456
R2a-002,0.8,fast,1,18,up,0.47,0.644,-0.41771212088096205
R2a-002,0.8,fast,1,19,up,0.48,0.6852,-0.38483544588279056
R2a-002,0.8,fast,1,20,up,0.49,0.6385000000000001,-0.3467990312183618
R2a-002,0.8,fast,1,21,up,0.5,0.6355,-0.31354804433483097
R2a-002,0.8,fast,1,22,up,0.51,0.6411,-0.29427890383581423
R2a-002,0.8,fast,1,23,up,0.52,0.7712,-0.28671233136472957
R2a-002,0.8,fast,1,24,up,0.53,0.6683,-0.2769955200266701
R2a-002,0.8,fast,1,25,up,0.54,0.7107,-0.23952833309351484
R2a-002,0.8,fast,1,26,up,0.56,0.7651,-0.2098330629690151
R2a-002,0.8,fast,1,27,up,0.58,0.8907,-0.13615258763976662
R2a-002,0.8,fast,1,28,up,0.6,0.7997,-0.13783796554032182
R2a-002,0.8,fast,1,29,up,0.62,0.8438,0.007260925368149289
R2a-002,0.8,fast,1,30,up,0.64,0.8447,-0.05158182299144718
R2a-002,0.8,fast,1,31,down,0.63,0.8842,0.09691149453936639
R2a-002,0.8,fast,1,32,down,0.61,0.9,0.1283881151193411
R2a-002,0.8,fast,1,33,down,0.59,0.9,0.2486596774233847
R2a-002,0.8,fast,1,34,down,0.57,0.9,0.221150905660078
R2a-002,0.8,fast,1,35,down,0.55,0.9,0.17394265937808978
R2a-002,0.8,fast,1,36,down,0.53,0.9,0.1647278096488848
R2a-002,0.8,fast,1,37,down,0.52,0.9,0.14871023396714306
R2a-002,0.8,fast,1,38,down,0.51,0.9,0.19604058742371142
R2a-002,0.8,fast,1,39,down,0.5,0.9,0.20453120672086977
R2a-002,0.8,fast,1,40,down,0.49,0.9,0.19290076672308604
R2a-002,0.8,fast,1,41,down,0.48,0.9,0.24102774294739476
R2a-002,0.8,fast,1,42,down,0.47,0.9,0.20530797546843485
R2a-002,0.8,fast,1,43,down,0.46,0.9,0.1766192409951164
R2a-002,0.8,fast,1,44,down,0.45,0.9,0.20244471282147022
R2a-002,0.8,fast,1,45,down,0.44,0.9,0.2181260118603098
R2a-002,0.8,fast,1,46,down,0.43,0.9,0.1742352941453609
R2a-002,0.8,fast,1,47,down,0.42,0.9,0.12044592380371628
R2a-002,0.8,fast,1,48,down,0.41,0.9,0.13780259880788473
R2a-002,0.8,fast,1,49,down,0.4,0.9,0.15147594535457237
R2a-002,0.8,fast,1,50,down,0.39,0.9,0.08365611578527914
R2a-002,0.8,fast,1,51,down,0.38,0.9,0.04204418131017259
R2a-002,0.8,fast,1,52,down,0.36,0.9,-0.04150296127624401
R2a-002,0.8,fast,1,53,down,0.34,0.9,-0.04303679267438699
R2a-002,0.8,fast,1,54,down,0.32,0.9,0.016064779224748513
R2a-002,0.8,fast,1,55,down,0.3,0.9,0.012812053347576638
R2a-002,0.8,fast,1,56,down,0.28,0.9,0.012711997143924236
R2a-002,0.8,fast,1,57,down,0.26,0.9,0.02315292606244282
R2a-002,0.8,fast,1,58,down,0.24,0.9,-0.05924840702922368
R2a-002,0.8,fast,1,59,down,0.22,0.9,0.08927084409574769
R2a-003,0.8,fast,2,0,up,0.2,0.7985,-0.1256179542622852
R2a-003,0.8,fast,2,1,up,0.22,0.838,-0.153388778838253
R2a-003,0.8,fast,2,2,up,0.24,0.7983,-0.20776040524206296
R2a-003,0.8,fast,2,3,up,0.26,0.8036,-0.2728682853119942
R2a-003,0.8,fast,2,4,up,0.28,0.7352000000000001,-0.28066237767854213
R2a-003,0.8,fast,2,5,up,0.3,0.7621,-0.30526655079673365
R2a-003,0.8,fast,2,6,up,0.32,0.724,-0.3602213378596519
R2a-003,0.8,fast,2,7,up,0.34,0.6931,-0.39540458193086847
R2a-003,0.8,fast,2,8,up,0.36,0.6591,-0.43435677422248586
R2a-003,0.8,fast,2,9,up,0.38,0.6732,-0.40954626094055724
R2a-003,0.8,fast,2,10,up,0.39,0.7419,-0.5003343136524971
R2a-003,0.8,fast,2,11,up,0.4,0.7244999999999999,-0.45358317807240756
R2a-003,0.8,fast,2,12,up,0.41,0.6865,-0.45093900676132465
R2a-003,0.8,fast,2,13,up,0.42,0.6815,-0.37740759598091245
R2a-003,0.8,fast,2,14,up,0.43,0.698,-0.4633963561369752
R2a-003,0.8,fast,2,15,up,0.44,0.7693,-0.41378181503743544
R2a-003,0.8,fast,2,16,up,0.45,0.7264999999999999,-0.35488599238499086
R2a-003,0.8,fast,2,17,up,0.46,0.7753,-0.40861813024598725
R2a-003,0.8,fast,2,18,up,0.47,0.7010000000000001,-0.36592837424036495
R2a-003,0.8,fast,2,19,up,0.48,0.7365999999999999,-0.3450800727207062
R2a-003,0.8,fast,2,20,up,0.49,0.7541,-0.27808249217210984
R2a-003,0.8,fast,2,21,up,0.5,0.7259,-0.3003750907931933
R2a-003,0.8,fast,2,22,up,0.51,0.7585999999999999,-0.282639048504168
R2a-003,0.8,fast,2,23,up,0.52,0.7868999999999999,-0.2559342003161354
R2a-003,0.8,fast,2,24,up,0.53,0.8493999999999999,-0.26442693140623824
R2a-003,0.8,fast,2,25,up,0.54,0.7907,-0.059616216748230616
R2a-003,0.8,fast,2,26,up,0.56,0.7988999999999999,-0.14586322005405755
R2a-003,0.8,fast,2,27,up,0.58,0.784,-0.04347125871810226
R2a-003,0.8,fast,2,28,up,0.6,0.8324,0.036195664455144834
R2a-003,0.8,fast,2,29,up,0.62,0.8388,0.07931292555960161
R2a-003,0.8,fast,2,30,up,0.64,0.8497,0.11377514240674066
R2a-003,0.8,fast,2,31,down,0.63,0.8354,-0.05412086236233614
