,,test_error,test_error,test_error
,,mean,std,count
clean_ratio,lambda,,,
0.01,0.0,0.3948,0.02,3
0.01,0.2,0.166,0.0006,3
0.01,0.3,0.1596,0.0097,3
0.01,0.4,0.601,0.0218,3
0.01,0.6,0.9,0.0,3
0.05,0.0,0.3948,0.02,3
0.05,0.2,0.1651,0.0087,3
0.05,0.3,0.1499,0.0049,3
0.05,0.4,0.4512,0.0876,3
0.05,0.6,0.9,0.0,3
0.1,0.0,0.3948,0.02,3
0.1,0.2,0.1657,0.0064,3
0.1,0.3,0.1456,0.0029,3
0.1,0.4,0.2786,0.0602,3
0.1,0.6,0.9,0.0,3
