seed,category,epoch,step,c_sv,c_mc,norm_s,norm_v,norm_mix,loss_s,loss_v
3,trapped_90,0,0,0.8623334169387817,0.9777916669845581,4.028377056121826,3.833456516265869,0.9663954377174377,2.462080955505371,2.4459452629089355
3,trapped_90,0,20,0.9783997535705566,0.5252959132194519,20.86290740966797,18.09025001525879,0.6942089200019836,6.5188798904418945,6.947080135345459
3,trapped_90,0,40,0.8271036744117737,0.41489800810813904,6.086783409118652,6.039279937744141,0.714912474155426,5.68121862411499,5.773919105529785
3,trapped_90,0,60,0.9072014689445496,0.21077032387256622,2.818117141723633,3.0386626720428467,0.5418909192085266,6.151545524597168,5.969847679138184
3,trapped_90,0,80,0.3001263737678528,0.8836069703102112,6.2566962242126465,6.375826835632324,0.814899206161499,11.15808391571045,7.697821617126465
3,trapped_90,0,100,0.9980149269104004,0.28656986355781555,30.970951080322266,32.84092330932617,0.5786303281784058,5.078410625457764,5.058424472808838
3,trapped_90,0,120,0.9545111060142517,0.4525150656700134,3.402621269226074,3.748344659805298,0.6734112501144409,3.6417479515075684,3.8761956691741943
3,trapped_90,0,140,0.9874242544174194,0.47992071509361267,5.368851661682129,4.332787036895752,0.6822168231010437,2.913661479949951,2.733098268508911
3,trapped_90,0,160,0.9004212617874146,0.9839723110198975,0.5420110821723938,0.6476504802703857,0.9758085608482361,2.3659563064575195,2.4049220085144043
3,trapped_90,0,180,0.2003765106201172,0.2267916202545166,0.48251819610595703,0.5242859721183777,0.7667716145515442,2.6251866817474365,2.3110904693603516
3,trapped_90,1,200,0.4731602668762207,0.3487160801887512,0.48214274644851685,0.6386046409606934,0.7197315096855164,2.362886667251587,2.2121031284332275
3,trapped_90,1,220,0.7318732738494873,0.3284531533718109,0.5852994322776794,0.7341695427894592,0.6106202602386475,2.596693992614746,2.464505434036255
3,trapped_90,1,240,0.9500871896743774,0.9919899702072144,1.4739738702774048,1.2026852369308472,0.9879483580589294,2.7664546966552734,2.572779655456543
3,trapped_90,1,260,0.687329113483429,0.5286443829536438,0.2926948070526123,0.2497352510690689,0.7824399471282959,2.372429132461548,2.259885787963867
3,trapped_90,1,280,0.6689679622650146,0.34069401025772095,0.26755884289741516,0.3205551207065582,0.7275316715240479,2.346527338027954,2.3022589683532715
3,trapped_90,1,300,0.6017630696296692,0.1290404200553894,0.4878937900066376,0.4398973286151886,0.6039331555366516,2.427907943725586,2.265153408050537
3,trapped_90,1,320,0.6131211519241333,0.936682939529419,0.34146809577941895,0.3692189157009125,0.9023846983909607,2.319140672683716,2.2360706329345703
3,trapped_90,1,340,0.9193320274353027,0.5312597751617432,0.3514379858970642,0.4776720702648163,0.6978515982627869,2.279498338699341,2.206824779510498
3,trapped_90,1,360,0.8775432109832764,0.28676509857177734,0.9292943477630615,0.5564905405044556,0.5862402319908142,2.421772003173828,2.148890495300293
3,trapped_90,1,380,0.5729334354400635,0.16914913058280945,0.3073716461658478,0.33714789152145386,0.6587077975273132,2.352910041809082,2.2959070205688477
