experiment_id,experiment,lr,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q3a-038,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.45,2,0.8699,0.1301,0.8699,0.1301,-0.16395593210800885,643.5230920314789
Q3a-039,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.45,3,0.862,0.138,0.862,0.138,-0.14249935289917925,643.0267958641052
Q3a-040,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.45,4,0.8604,0.13959999999999995,0.8604,0.13959999999999995,-0.14941394764767268,653.5633175373077
Q3a-041,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.5,0,0.708,0.29200000000000004,0.708,0.29200000000000004,-0.03205265909233202,647.2304062843323
Q3a-042,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.5,1,0.7688,0.23119999999999996,0.7688,0.23119999999999996,-0.02744993842282922,644.5406551361084
Q3a-043,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.5,2,0.732,0.268,0.732,0.268,-0.018120290317616604,644.2404088973999
Q3a-044,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.5,3,0.4277,0.5723,0.4277,0.5723,-0.05067106477583032,644.6079425811768
Q3a-045,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.5,4,0.7441,0.2559,0.7441,0.2559,-0.030692051287309258,644.4558446407318
Q3a-046,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.6,0,0.2445,0.7555000000000001,0.2445,0.7555000000000001,-0.007211580963906886,644.6034183502197
Q3a-047,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.6,1,0.1,0.9,0.1163,0.8837,0.12674999056566014,643.7543613910675
Q3a-048,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.6,2,0.1,0.9,0.1509,0.8491,0.12881314213709,643.8206613063812
Q3a-049,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.6,3,0.3505,0.6495,0.3505,0.6495,0.016639823314320408,644.1860296726227
Q3a-050,exp_Q3a_lr_lambda_interaction,0.1,0.4,0.6,4,0.1,0.9,0.1647,0.8352999999999999,0.1245935746479384,644.571298122406
Q3a-051,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.3,0,0.8735,0.12649999999999995,0.8776,0.12239999999999995,-0.15594088830911776,644.0706360340118
Q3a-052,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.3,1,0.875,0.125,0.8792,0.12080000000000002,-0.1565419632901808,644.6309065818787
Q3a-053,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.3,2,0.8805,0.11950000000000005,0.8824,0.11760000000000004,-0.1583681280273506,643.9095721244812
Q3a-054,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.3,3,0.8747,0.12529999999999997,0.8783,0.12170000000000003,-0.1599868846873513,644.1841883659363
Q3a-055,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.3,4,0.8748,0.12519999999999998,0.8751,0.12490000000000001,-0.15902918499625082,644.2519154548645
Q3a-056,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.35,0,0.8658,0.13419999999999999,0.8658,0.13419999999999999,-0.19857730110532576,643.9007968902588
Q3a-057,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.35,1,0.8682,0.13180000000000003,0.8692,0.13080000000000003,-0.20260122572662834,644.5654413700104
Q3a-058,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.35,2,0.8703,0.12970000000000004,0.8706,0.12939999999999996,-0.199658049924153,653.1670572757721
Q3a-059,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.35,3,0.8671,0.13290000000000002,0.868,0.132,-0.20192646484164528,643.9108793735504
Q3a-060,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.35,4,0.8678,0.13219999999999998,0.8691,0.13090000000000002,-0.19696210715588308,644.087602853775
Q3a-061,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.45,0,0.1,0.9,0.1012,0.8988,0.03932437894148372,643.6663353443146
Q3a-062,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.45,1,0.1,0.9,0.169,0.831,0.01102510091506256,643.852545261383
Q3a-063,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.45,2,0.1,0.9,0.169,0.831,0.026419969423459037,643.503312587738
Q3a-064,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.45,3,0.1,0.9,0.1649,0.8351,0.02808097985009449,643.711056470871
Q3a-065,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.45,4,0.1,0.9,0.1517,0.8483,0.01967826119291463,643.2507970333099
Q3a-066,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.5,0,0.1,0.9,0.1424,0.8576,0.06367124972330425,643.6398096084595
Q3a-067,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.5,1,0.1,0.9,0.1126,0.8874,0.06465331596581322,643.4280385971069
Q3a-068,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.5,2,0.1,0.9,0.1458,0.8542,0.06198001777736009,643.130172252655
Q3a-069,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.5,3,0.1,0.9,0.157,0.843,0.061638243715344126,643.7929651737213
Q3a-070,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.5,4,0.1,0.9,0.1275,0.8725,0.0612866401799351,643.835437297821
Q3a-071,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.6,0,0.1,0.9,0.1215,0.8785000000000001,0.1349616969352688,644.0303757190704
Q3a-072,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.6,1,0.1,0.9,0.1,0.9,0.14470385759161922,643.9535667896271
Q3a-073,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.6,2,0.1,0.9,0.1,0.9,0.13349168087778987,643.7017250061035
Q3a-074,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.6,3,0.1,0.9,0.1344,0.8656,0.13000965495014513,643.5970554351807
Q3a-075,exp_Q3a_lr_lambda_interaction,0.2,0.4,0.6,4,0.1,0.9,0.1609,0.8391,0.13500041435108573,646.1039681434631
