experiment,lambda,region,noise_rate,seed,test_acc,test_error,best_acc,best_error,convergence_epoch,time_seconds
exp_K_learning_dynamics,0.43,critical,0.8,4,0.7185,0.2815,0.7185,0.2815,,679.6767816543579
exp_K_learning_dynamics,0.45,critical,0.8,0,0.6787,0.32130000000000003,0.6806,0.3194,,678.8818447589874
exp_K_learning_dynamics,0.45,critical,0.8,1,0.5833,0.41669999999999996,0.5868,0.4132,,679.6685049533844
exp_K_learning_dynamics,0.45,critical,0.8,2,0.6322,0.3678,0.6322,0.3678,,679.9152598381042
exp_K_learning_dynamics,0.45,critical,0.8,3,0.5904,0.40959999999999996,0.5942,0.40580000000000005,,680.3747744560242
exp_K_learning_dynamics,0.45,critical,0.8,4,0.604,0.396,0.604,0.396,,679.6131880283356
exp_K_learning_dynamics,0.47,critical,0.8,0,0.1925,0.8075,0.2281,0.7719,,679.9409666061401
exp_K_learning_dynamics,0.47,critical,0.8,1,0.3593,0.6407,0.3645,0.6355,,681.3199393749237
exp_K_learning_dynamics,0.47,critical,0.8,2,0.5003,0.49970000000000003,0.5003,0.49970000000000003,,680.7970240116119
exp_K_learning_dynamics,0.47,critical,0.8,3,0.1994,0.8006,0.256,0.744,,680.6933465003967
exp_K_learning_dynamics,0.47,critical,0.8,4,0.4403,0.5597,0.4403,0.5597,,680.1624109745026
exp_K_learning_dynamics,0.55,collapse,0.8,0,0.4439,0.5561,0.4439,0.5561,,679.4138672351837
exp_K_learning_dynamics,0.55,collapse,0.8,1,0.1,0.9,0.2069,0.7931,,679.1148588657379
exp_K_learning_dynamics,0.55,collapse,0.8,2,0.1,0.9,0.1975,0.8025,,678.9560036659241
exp_K_learning_dynamics,0.55,collapse,0.8,3,0.2045,0.7955,0.2184,0.7816,,679.7574536800385
exp_K_learning_dynamics,0.55,collapse,0.8,4,0.1,0.9,0.1947,0.8053,,679.6773593425751
