experiment_id,experiment,model,lambda,noise_rate,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
P-038,exp_P_architecture_universality,VGG11,0.15,0.4,1,0.7848,0.21519999999999995,0.8491,0.15090000000000003,-0.03090100643211283,519.7296178340912
P-039,exp_P_architecture_universality,VGG11,0.15,0.4,2,0.7778,0.22219999999999995,0.8425,0.15749999999999997,-0.03138137228420312,520.486334323883
P-040,exp_P_architecture_universality,VGG11,0.25,0.4,0,0.8548,0.1452,0.8612,0.13880000000000003,-0.06884346444612385,519.3292627334595
P-041,exp_P_architecture_universality,VGG11,0.25,0.4,1,0.8479,0.1521,0.8544,0.14559999999999995,-0.07248290338039769,519.2264099121094
P-042,exp_P_architecture_universality,VGG11,0.25,0.4,2,0.852,0.14800000000000002,0.8604,0.13959999999999995,-0.07108966125275207,520.9216184616089
P-043,exp_P_architecture_universality,VGG11,0.35,0.4,0,0.8559,0.1441,0.8559,0.1441,-0.1459575596646561,519.3621733188629
P-044,exp_P_architecture_universality,VGG11,0.35,0.4,1,0.8531,0.14690000000000003,0.8562,0.14380000000000004,-0.1457418803649847,519.7432384490967
P-045,exp_P_architecture_universality,VGG11,0.35,0.4,2,0.8551,0.14490000000000003,0.8551,0.14490000000000003,-0.1455958538363831,520.369861125946
P-046,exp_P_architecture_universality,VGG11,0.45,0.4,0,0.1,0.9,0.1806,0.8194,0.04605945812371106,519.0180554389954
P-047,exp_P_architecture_universality,VGG11,0.45,0.4,1,0.1,0.9,0.1903,0.8097,0.06246274524973706,520.211323261261
P-048,exp_P_architecture_universality,VGG11,0.45,0.4,2,0.1,0.9,0.2534,0.7465999999999999,0.03074081223337457,518.2488806247711
P-049,exp_P_architecture_universality,VGG11,0.55,0.4,0,0.1,0.9,0.1,0.9,0.1313946463276083,519.0958476066589
P-050,exp_P_architecture_universality,VGG11,0.55,0.4,1,0.1,0.9,0.1,0.9,0.1265573994746575,520.8601596355438
P-051,exp_P_architecture_universality,VGG11,0.55,0.4,2,0.2195,0.7805,0.2205,0.7795,-0.03149509768433965,519.5058882236481
P-052,exp_P_architecture_universality,VGG11,0.65,0.4,0,0.1,0.9,0.1,0.9,0.21677283322897092,521.0864980220795
P-053,exp_P_architecture_universality,VGG11,0.65,0.4,1,0.1,0.9,0.1,0.9,0.22138458649748458,518.2468545436859
P-054,exp_P_architecture_universality,VGG11,0.65,0.4,2,0.1,0.9,0.1,0.9,0.22166411252389068,518.0007767677307
P-055,exp_P_architecture_universality,SimpleCNN,0.15,0.4,0,0.8233,0.17669999999999997,0.8288,0.17120000000000002,-0.05683743279096401,516.695378780365
P-056,exp_P_architecture_universality,SimpleCNN,0.15,0.4,1,0.8233,0.17669999999999997,0.8273,0.17269999999999996,-0.05574755930428644,516.9826304912567
P-057,exp_P_architecture_universality,SimpleCNN,0.15,0.4,2,0.8171,0.18289999999999995,0.8188,0.18120000000000003,-0.054409594362225526,517.2725381851196
P-058,exp_P_architecture_universality,SimpleCNN,0.25,0.4,0,0.8119,0.18810000000000004,0.8143,0.18569999999999998,-0.12581194829246184,520.365654706955
P-059,exp_P_architecture_universality,SimpleCNN,0.25,0.4,1,0.8181,0.18189999999999995,0.8181,0.18189999999999995,-0.12491111334574483,515.7010939121246
P-060,exp_P_architecture_universality,SimpleCNN,0.25,0.4,2,0.8189,0.18110000000000004,0.8189,0.18110000000000004,-0.12407213048037821,515.87153673172
P-061,exp_P_architecture_universality,SimpleCNN,0.35,0.4,0,0.7799,0.22009999999999996,0.7819,0.21809999999999996,-0.23173098776727102,518.6347110271454
P-062,exp_P_architecture_universality,SimpleCNN,0.35,0.4,1,0.7695,0.23050000000000004,0.7719,0.22809999999999997,-0.2332332073418328,515.6304306983948
P-063,exp_P_architecture_universality,SimpleCNN,0.35,0.4,2,0.7755,0.22450000000000003,0.7755,0.22450000000000003,-0.23513763820044464,517.2546014785767
P-064,exp_P_architecture_universality,SimpleCNN,0.45,0.4,0,0.1,0.9,0.1,0.9,0.09530623341392344,516.7427926063538
P-065,exp_P_architecture_universality,SimpleCNN,0.45,0.4,1,0.1,0.9,0.1,0.9,0.10134106825920157,516.6087424755096
P-066,exp_P_architecture_universality,SimpleCNN,0.45,0.4,2,0.1,0.9,0.1,0.9,0.10881982435324254,516.6282997131348
P-067,exp_P_architecture_universality,SimpleCNN,0.55,0.4,0,0.1,0.9,0.1,0.9,0.13374317237209435,516.8016269207001
P-068,exp_P_architecture_universality,SimpleCNN,0.55,0.4,1,0.1,0.9,0.1,0.9,0.14296900296241094,516.1884558200836
P-069,exp_P_architecture_universality,SimpleCNN,0.55,0.4,2,0.1,0.9,0.1,0.9,0.13914376905156922,517.0186805725098
P-070,exp_P_architecture_universality,SimpleCNN,0.65,0.4,0,0.1,0.9,0.1,0.9,0.21744555577967697,516.6305274963379
P-071,exp_P_architecture_universality,SimpleCNN,0.65,0.4,1,0.1,0.9,0.1,0.9,0.22285058235326927,517.4513330459595
P-072,exp_P_architecture_universality,SimpleCNN,0.65,0.4,2,0.1,0.9,0.1,0.9,0.22016370281779196,516.676481962204
