experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,test_acc,avg_cos
R1a-002,0.4,fast,1,0,up,0.2,0.6906,0.3094,-0.12888563907591208
R1a-002,0.4,fast,1,1,up,0.22,0.5868,0.4132,-0.15466730432271272
R1a-002,0.4,fast,1,2,up,0.24,0.6167,0.3833,-0.16996722625763327
R1a-002,0.4,fast,1,3,up,0.26,0.49470000000000003,0.5053,-0.19682802018597817
R1a-002,0.4,fast,1,4,up,0.28,0.4908,0.5092,-0.20411580637553517
R1a-002,0.4,fast,1,5,up,0.3,0.5198,0.4802,-0.2031818731594118
R1a-002,0.4,fast,1,6,up,0.32,0.4497,0.5503,-0.21576469893714564
R1a-002,0.4,fast,1,7,up,0.34,0.41969999999999996,0.5803,-0.232769945215871
R1a-002,0.4,fast,1,8,up,0.36,0.40249999999999997,0.5975,-0.21299308685619117
R1a-002,0.4,fast,1,9,up,0.38,0.37460000000000004,0.6254,-0.24068830631036617
R1a-002,0.4,fast,1,10,up,0.4,0.4666,0.5334,-0.1914913838922892
R1a-002,0.4,fast,1,11,up,0.42,0.42279999999999995,0.5772,-0.16516262032471749
R1a-002,0.4,fast,1,12,up,0.43,0.4315,0.5685,-0.14641233686386246
R1a-002,0.4,fast,1,13,up,0.44,0.4292,0.5708,-0.10936594399034369
R1a-002,0.4,fast,1,14,up,0.45,0.5063,0.4937,-0.11042117827562425
R1a-002,0.4,fast,1,15,up,0.46,0.473,0.527,-0.10418271203525364
R1a-002,0.4,fast,1,16,up,0.47,0.5089,0.4911,-0.10338699031141302
R1a-002,0.4,fast,1,17,up,0.48,0.3425,0.6575,-0.07762987061869353
R1a-002,0.4,fast,1,18,up,0.49,0.3963,0.6037,-0.09100458193902991
R1a-002,0.4,fast,1,19,up,0.5,0.5096,0.4904,-0.07404333153354688
R1a-002,0.4,fast,1,20,up,0.51,0.41579999999999995,0.5842,-0.051585810938469916
R1a-002,0.4,fast,1,21,up,0.52,0.39949999999999997,0.6005,-0.045706388794779014
R1a-002,0.4,fast,1,22,up,0.53,0.37029999999999996,0.6297,-0.05103522322463746
R1a-002,0.4,fast,1,23,up,0.54,0.5065999999999999,0.4934,-0.04831532864802878
R1a-002,0.4,fast,1,24,up,0.55,0.46130000000000004,0.5387,-0.016115610449745948
R1a-002,0.4,fast,1,25,up,0.56,0.3962,0.6038,-0.038465295647442034
R1a-002,0.4,fast,1,26,up,0.57,0.385,0.615,-0.04966036253727554
R1a-002,0.4,fast,1,27,up,0.58,0.5267,0.4733,-0.031664849705614
R1a-002,0.4,fast,1,28,up,0.6,0.46409999999999996,0.5359,-0.0018660517418947146
R1a-002,0.4,fast,1,29,up,0.62,0.49139999999999995,0.5086,0.010659303121762921
R1a-002,0.4,fast,1,30,up,0.64,0.51,0.49,0.05463220607441831
R1a-002,0.4,fast,1,31,down,0.63,0.6144000000000001,0.3856,0.010652154560523982
R1a-002,0.4,fast,1,32,down,0.61,0.4717,0.5283,0.015307510951153782
R1a-002,0.4,fast,1,33,down,0.59,0.41469999999999996,0.5853,-0.015590971444759575
R1a-002,0.4,fast,1,34,down,0.57,0.4534,0.5466,-0.06764576796024126
R1a-002,0.4,fast,1,35,down,0.56,0.4636,0.5364,-0.02919598216932191
R1a-002,0.4,fast,1,36,down,0.55,0.4132,0.5868,-0.009586300173470256
R1a-002,0.4,fast,1,37,down,0.54,0.347,0.653,-0.05208889494783112
R1a-002,0.4,fast,1,38,down,0.53,0.4337,0.5663,-0.0550625572106991
R1a-002,0.4,fast,1,39,down,0.52,0.4244,0.5756,-0.08440989150418615
R1a-002,0.4,fast,1,40,down,0.51,0.3508,0.6492,-0.05022042145838543
R1a-002,0.4,fast,1,41,down,0.5,0.2822,0.7178,-0.08226976204397422
R1a-002,0.4,fast,1,42,down,0.49,0.3045,0.6955,-0.09827334585371522
R1a-002,0.4,fast,1,43,down,0.48,0.4556,0.5444,-0.1120809903056527
R1a-002,0.4,fast,1,44,down,0.47,0.2931,0.7069,-0.11113451587568436
R1a-002,0.4,fast,1,45,down,0.46,0.26239999999999997,0.7376,-0.12014633220886546
R1a-002,0.4,fast,1,46,down,0.45,0.32230000000000003,0.6777,-0.1342258829366872
R1a-002,0.4,fast,1,47,down,0.44,0.34219999999999995,0.6578,-0.14029215143907967
R1a-002,0.4,fast,1,48,down,0.43,0.3338,0.6662,-0.10070493594952384
R1a-002,0.4,fast,1,49,down,0.42,0.26670000000000005,0.7333,-0.11123967226428379
R1a-002,0.4,fast,1,50,down,0.4,0.17269999999999996,0.8273,-0.19254567885619342
R1a-002,0.4,fast,1,51,down,0.38,0.16569999999999996,0.8343,-0.2178102209023675
R1a-002,0.4,fast,1,52,down,0.36,0.15839999999999999,0.8416,-0.20035799326641218
R1a-002,0.4,fast,1,53,down,0.34,0.15390000000000004,0.8461,-0.18736034956741698
