experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,test_acc,avg_cos
R1b-001,0.4,slow,0,59,down,0.22,0.11699999999999999,0.883,-0.05231047000341611
R1b-002,0.4,slow,1,0,up,0.2,0.40469999999999995,0.5953,-0.11459950470170767
R1b-002,0.4,slow,1,1,up,0.22,0.34240000000000004,0.6576,-0.12681191702960154
R1b-002,0.4,slow,1,2,up,0.24,0.3964,0.6036,-0.09110255863687394
R1b-002,0.4,slow,1,3,up,0.26,0.31679999999999997,0.6832,-0.08941761826400227
R1b-002,0.4,slow,1,4,up,0.28,0.2602,0.7398,-0.07693146129271813
R1b-002,0.4,slow,1,5,up,0.3,0.29969999999999997,0.7003,-0.10306499486287808
R1b-002,0.4,slow,1,6,up,0.32,0.2679,0.7321,-0.10703765227202783
R1b-002,0.4,slow,1,7,up,0.34,0.30369999999999997,0.6963,-0.10418457588019343
R1b-002,0.4,slow,1,8,up,0.36,0.25239999999999996,0.7476,-0.09645252706535275
R1b-002,0.4,slow,1,9,up,0.38,0.2378,0.7622,-0.08914817051904998
R1b-002,0.4,slow,1,10,up,0.4,0.127,0.873,-0.16791747831644452
R1b-002,0.4,slow,1,11,up,0.42,0.11739999999999995,0.8826,-0.1516423311312588
R1b-002,0.4,slow,1,12,up,0.43,0.11339999999999995,0.8866,-0.13075012788746734
R1b-002,0.4,slow,1,13,up,0.44,0.11570000000000003,0.8843,-0.1233438938399967
R1b-002,0.4,slow,1,14,up,0.45,0.11280000000000001,0.8872,-0.10675321393456234
R1b-002,0.4,slow,1,15,up,0.46,0.09889999999999999,0.9011,-0.13634591673177723
R1b-002,0.4,slow,1,16,up,0.47,0.09650000000000003,0.9035,-0.1407261737147156
R1b-002,0.4,slow,1,17,up,0.48,0.09750000000000003,0.9025,-0.1241066757665605
R1b-002,0.4,slow,1,18,up,0.49,0.09760000000000002,0.9024,-0.12394778499123166
R1b-002,0.4,slow,1,19,up,0.5,0.09719999999999995,0.9028,-0.11970792999918743
R1b-002,0.4,slow,1,20,up,0.51,0.09499999999999997,0.905,-0.11755882090727361
R1b-002,0.4,slow,1,21,up,0.52,0.09619999999999995,0.9038,-0.11318502741229093
R1b-002,0.4,slow,1,22,up,0.53,0.09519999999999995,0.9048,-0.10999705014769368
R1b-002,0.4,slow,1,23,up,0.54,0.09509999999999996,0.9049,-0.104188891296389
R1b-002,0.4,slow,1,24,up,0.55,0.09340000000000004,0.9066,-0.09976906731857785
R1b-002,0.4,slow,1,25,up,0.56,0.09419999999999995,0.9058,-0.0992833594886624
R1b-002,0.4,slow,1,26,up,0.57,0.09440000000000004,0.9056,-0.09692890577170314
R1b-002,0.4,slow,1,27,up,0.58,0.09230000000000005,0.9077,-0.08833320179897151
R1b-002,0.4,slow,1,28,up,0.6,0.09389999999999998,0.9061,-0.08753615069412152
R1b-002,0.4,slow,1,29,up,0.62,0.0937,0.9063,-0.0833711702096257
R1b-002,0.4,slow,1,30,up,0.64,0.09030000000000005,0.9097,-0.07540265291130968
R1b-002,0.4,slow,1,31,down,0.63,0.09240000000000004,0.9076,-0.08055948530684928
R1b-002,0.4,slow,1,32,down,0.61,0.09240000000000004,0.9076,-0.07594152838847011
R1b-002,0.4,slow,1,33,down,0.59,0.0937,0.9063,-0.0921180911780316
R1b-002,0.4,slow,1,34,down,0.57,0.08940000000000003,0.9106,-0.09208269225319429
R1b-002,0.4,slow,1,35,down,0.56,0.09079999999999999,0.9092,-0.09477662646724862
R1b-002,0.4,slow,1,36,down,0.55,0.09309999999999996,0.9069,-0.08299718338079104
R1b-002,0.4,slow,1,37,down,0.54,0.0938,0.9062,-0.08824892838518801
R1b-002,0.4,slow,1,38,down,0.53,0.08960000000000001,0.9104,-0.08332911153723087
R1b-002,0.4,slow,1,39,down,0.52,0.09199999999999997,0.908,-0.09104304611967991
R1b-002,0.4,slow,1,40,down,0.51,0.09240000000000004,0.9076,-0.0844546735550429
R1b-002,0.4,slow,1,41,down,0.5,0.09309999999999996,0.9069,-0.09409090211705248
R1b-002,0.4,slow,1,42,down,0.49,0.09330000000000005,0.9067,-0.08502202116105022
R1b-002,0.4,slow,1,43,down,0.48,0.09199999999999997,0.908,-0.0880152437793167
R1b-002,0.4,slow,1,44,down,0.47,0.0928,0.9072,-0.09051878993133348
R1b-002,0.4,slow,1,45,down,0.46,0.09450000000000003,0.9055,-0.08800140167919121
R1b-002,0.4,slow,1,46,down,0.45,0.09389999999999998,0.9061,-0.08474152068113339
R1b-002,0.4,slow,1,47,down,0.44,0.0948,0.9052,-0.09553721580625874
R1b-002,0.4,slow,1,48,down,0.43,0.09309999999999996,0.9069,-0.08840013313468317
R1b-002,0.4,slow,1,49,down,0.42,0.09309999999999996,0.9069,-0.08842481759243778
R1b-002,0.4,slow,1,50,down,0.4,0.09670000000000001,0.9033,-0.08332544709650838
R1b-002,0.4,slow,1,51,down,0.38,0.0947,0.9053,-0.09369774081753757
R1b-002,0.4,slow,1,52,down,0.36,0.09519999999999995,0.9048,-0.08322211829838533
R1b-002,0.4,slow,1,53,down,0.34,0.09789999999999999,0.9021,-0.07968344626240242
R1b-002,0.4,slow,1,54,down,0.32,0.09950000000000003,0.9005,-0.07830288561182192
R1b-002,0.4,slow,1,55,down,0.3,0.10370000000000001,0.8963,-0.07420773575633612
R1b-002,0.4,slow,1,56,down,0.28,0.10340000000000005,0.8966,-0.06636422268419832
R1b-002,0.4,slow,1,57,down,0.26,0.10840000000000005,0.8916,-0.05950976502416389
R1b-002,0.4,slow,1,58,down,0.24,0.11080000000000001,0.8892,-0.05982435522102086
R1b-002,0.4,slow,1,59,down,0.22,0.11860000000000004,0.8814,-0.060059298720503015
R1b-003,0.4,slow,2,0,up,0.2,0.44120000000000004,0.5588,-0.11690670259924112
R1b-003,0.4,slow,2,1,up,0.22,0.3305,0.6695,-0.12068365900587215
R1b-003,0.4,slow,2,2,up,0.24,0.351,0.649,-0.0879887078314953
R1b-003,0.4,slow,2,3,up,0.26,0.2439,0.7561,-0.0871379514229579
R1b-003,0.4,slow,2,4,up,0.28,0.276,0.724,-0.07893022932931876
R1b-003,0.4,slow,2,5,up,0.3,0.2651,0.7349,-0.0987337365050382
R1b-003,0.4,slow,2,6,up,0.32,0.3012,0.6988,-0.10849429344715626
R1b-003,0.4,slow,2,7,up,0.34,0.34809999999999997,0.6519,-0.1156411615772914
R1b-003,0.4,slow,2,8,up,0.36,0.3032,0.6968,-0.09336644273170518
R1b-003,0.4,slow,2,9,up,0.38,0.23670000000000002,0.7633,-0.09545018698079322
R1b-003,0.4,slow,2,10,up,0.4,0.12580000000000002,0.8742,-0.17572687911725013
R1b-003,0.4,slow,2,11,up,0.42,0.12280000000000002,0.8772,-0.1550497117699409
R1b-003,0.4,slow,2,12,up,0.43,0.11570000000000003,0.8843,-0.13356826602652364
R1b-003,0.4,slow,2,13,up,0.44,0.11760000000000004,0.8824,-0.12074616559952193
R1b-003,0.4,slow,2,14,up,0.45,0.1169,0.8831,-0.11127203700788395
R1b-003,0.4,slow,2,15,up,0.46,0.0988,0.9012,-0.13547708987429433
R1b-003,0.4,slow,2,16,up,0.47,0.09919999999999995,0.9008,-0.1289035794348931
R1b-003,0.4,slow,2,17,up,0.48,0.09599999999999997,0.904,-0.13224454492102472
R1b-003,0.4,slow,2,18,up,0.49,0.09799999999999998,0.902,-0.12995565667444345
R1b-003,0.4,slow,2,19,up,0.5,0.09519999999999995,0.9048,-0.12726994393849556
R1b-003,0.4,slow,2,20,up,0.51,0.09719999999999995,0.9028,-0.12123166531210347
R1b-003,0.4,slow,2,21,up,0.52,0.09509999999999996,0.9049,-0.1122739558697355
R1b-003,0.4,slow,2,22,up,0.53,0.09360000000000002,0.9064,-0.11815408082222756
R1b-003,0.4,slow,2,23,up,0.54,0.09399999999999997,0.906,-0.11564636668332909
R1b-003,0.4,slow,2,24,up,0.55,0.09179999999999999,0.9082,-0.10837756058353247
