seed,lambda,error,branch
0,0.3,0.13290000000000002,ordered_up
0,0.32,0.13270000000000004,ordered_up
0,0.34,0.13219999999999998,ordered_up
0,0.36,0.13139999999999996,ordered_up
0,0.38,0.13290000000000002,ordered_up
0,0.4,0.13190000000000002,ordered_up
0,0.42,0.13260000000000005,ordered_up
0,0.44,0.13329999999999997,ordered_up
0,0.46,0.13190000000000002,ordered_up
0,0.48,0.13190000000000002,ordered_up
0,0.5,0.13019999999999998,ordered_up
0,0.52,0.13,ordered_up
0,0.54,0.13219999999999998,ordered_up
0,0.56,0.12960000000000005,ordered_up
0,0.58,0.13139999999999996,ordered_up
0,0.6,0.13029999999999997,ordered_up
0,0.62,0.132,ordered_up
0,0.64,0.13129999999999997,ordered_up
0,0.66,0.13029999999999997,ordered_up
0,0.68,0.12870000000000004,ordered_up
0,0.7,0.1291,ordered_up
1,0.3,0.13529999999999998,ordered_up
1,0.32,0.13639999999999997,ordered_up
1,0.34,0.13539999999999996,ordered_up
1,0.36,0.13539999999999996,ordered_up
1,0.38,0.13429999999999997,ordered_up
1,0.4,0.13270000000000004,ordered_up
1,0.42,0.1331,ordered_up
1,0.44,0.13270000000000004,ordered_up
1,0.46,0.13280000000000003,ordered_up
1,0.48,0.13249999999999995,ordered_up
1,0.5,0.13260000000000005,ordered_up
1,0.52,0.13249999999999995,ordered_up
1,0.54,0.13290000000000002,ordered_up
1,0.56,0.13170000000000004,ordered_up
1,0.58,0.13390000000000002,ordered_up
1,0.6,0.13090000000000002,ordered_up
1,0.62,0.13119999999999998,ordered_up
1,0.64,0.13329999999999997,ordered_up
1,0.66,0.13080000000000003,ordered_up
1,0.68,0.13049999999999995,ordered_up
1,0.7,0.13080000000000003,ordered_up
2,0.3,0.13249999999999995,ordered_up
2,0.32,0.13260000000000005,ordered_up
2,0.34,0.13180000000000003,ordered_up
2,0.36,0.13290000000000002,ordered_up
2,0.38,0.13190000000000002,ordered_up
2,0.4,0.13280000000000003,ordered_up
2,0.42,0.13339999999999996,ordered_up
2,0.44,0.13119999999999998,ordered_up
2,0.46,0.131,ordered_up
2,0.48,0.13019999999999998,ordered_up
2,0.5,0.12970000000000004,ordered_up
2,0.52,0.13039999999999996,ordered_up
2,0.54,0.13239999999999996,ordered_up
2,0.56,0.13090000000000002,ordered_up
2,0.58,0.131,ordered_up
2,0.6,0.13149999999999995,ordered_up
2,0.62,0.13060000000000005,ordered_up
2,0.64,0.1301,ordered_up
2,0.66,0.12949999999999995,ordered_up
2,0.68,0.1311,ordered_up
2,0.7,0.13049999999999995,ordered_up
3,0.3,0.13780000000000003,ordered_up
3,0.32,0.13639999999999997,ordered_up
3,0.34,0.13629999999999998,ordered_up
3,0.36,0.1352,ordered_up
3,0.38,0.13529999999999998,ordered_up
3,0.4,0.1371,ordered_up
3,0.42,0.13629999999999998,ordered_up
3,0.44,0.13729999999999998,ordered_up
3,0.46,0.13529999999999998,ordered_up
3,0.48,0.13449999999999995,ordered_up
3,0.5,0.13560000000000005,ordered_up
3,0.52,0.13260000000000005,ordered_up
3,0.54,0.13429999999999997,ordered_up
3,0.56,0.13270000000000004,ordered_up
3,0.58,0.13419999999999999,ordered_up
3,0.6,0.13370000000000004,ordered_up
3,0.62,0.13490000000000002,ordered_up
3,0.64,0.13480000000000003,ordered_up
3,0.66,0.13180000000000003,ordered_up
3,0.68,0.13180000000000003,ordered_up
3,0.7,0.134,ordered_up
4,0.3,0.1372,ordered_up
4,0.32,0.13670000000000004,ordered_up
4,0.34,0.13580000000000003,ordered_up
4,0.36,0.13729999999999998,ordered_up
4,0.38,0.13670000000000004,ordered_up
4,0.4,0.136,ordered_up
4,0.42,0.13639999999999997,ordered_up
4,0.44,0.13729999999999998,ordered_up
4,0.46,0.13849999999999996,ordered_up
4,0.48,0.13770000000000004,ordered_up
4,0.5,0.13490000000000002,ordered_up
4,0.52,0.1361,ordered_up
4,0.54,0.13639999999999997,ordered_up
4,0.56,0.13460000000000005,ordered_up
4,0.58,0.1352,ordered_up
4,0.6,0.13429999999999997,ordered_up
4,0.62,0.13639999999999997,ordered_up
4,0.64,0.1362,ordered_up
4,0.66,0.1351,ordered_up
4,0.68,0.1362,ordered_up
4,0.7,0.13580000000000003,ordered_up
