w_magnitude,epsilon_anisotropic,epsilon_isotropic
0.0,0.0,0.0
0.05,0.24374999999999947,0.0
0.1,0.48750000000000004,0.0
0.15000000000000002,0.7312499999999995,0.0
0.2,0.9750000000000001,0.0
0.25,1.2187499999999996,0.0
0.30000000000000004,1.4624999999999995,0.0
0.35000000000000003,1.7062499999999994,0.0
0.4,1.9499999999999995,0.0
0.45,2.1937499999999996,4.440892098500626e-16
0.5,2.437499999999999,0.0
0.55,2.681249999999999,0.0
0.6000000000000001,2.9249999999999994,0.0
0.65,3.1687499999999993,4.440892098500626e-16
0.7000000000000001,3.4124999999999988,0.0
0.75,3.656249999999999,0.0
0.8,3.8999999999999995,4.440892098500626e-16
0.8500000000000001,4.143749999999999,0.0
0.9,4.387499999999998,0.0
0.9500000000000001,4.631249999999999,0.0
1.0,4.874999999999998,0.0
1.05,5.118749999999999,0.0
1.1,5.362499999999999,0.0
1.1500000000000001,5.606249999999999,4.440892098500626e-16
1.2000000000000002,5.849999999999999,0.0
1.25,6.093749999999998,0.0
1.3,6.337499999999999,4.440892098500626e-16
1.35,6.581249999999999,4.440892098500626e-16
1.4000000000000001,6.824999999999998,4.440892098500626e-16
1.4500000000000002,7.068749999999999,0.0
1.5,7.312499999999998,0.0
1.55,7.556249999999997,0.0
1.6,7.799999999999999,0.0
1.6500000000000001,8.043749999999998,0.0
1.7000000000000002,8.287499999999998,0.0
1.75,8.531249999999996,0.0
1.8,8.774999999999997,0.0
1.85,9.018749999999999,8.881784197001252e-16
1.9000000000000001,9.262499999999998,8.881784197001252e-16
1.9500000000000002,9.506249999999998,0.0
2.0,9.749999999999996,0.0
