noise_rate,rho,lambda,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,cos_mean,cos_std
0.0,-0.7,0.0,0.10239999741315842,0.0,0.09950000047683716,0.0,,
0.0,-0.7,0.25,0.10239999741315842,0.0,0.09950000047683716,0.0,,
0.0,-0.7,0.5,0.8085499823093414,0.001173323107573603,0.799399983882904,0.0013556375766065644,-0.7000000011920929,3.509426439186978e-09
0.0,-0.7,0.75,0.8124349772930145,0.0008259883864557335,0.800089979171753,0.0010071506057801399,-0.7000000008940697,6.476245687514794e-09
0.0,-0.7,1.0,0.8126049816608429,0.0008008461075495436,0.7998999774456024,0.001024145530160741,-0.6999999992847442,4.1371711318203346e-09
0.0,-0.4,0.0,0.10239999741315842,0.0,0.09950000047683716,0.0,,
0.0,-0.4,0.25,0.10265999734401703,0.0029009376005851057,0.10112999975681305,0.00451713925685162,-0.4000000213831663,7.166513580497881e-09
0.0,-0.4,0.5,0.810364979505539,0.0012574362289507071,0.7998099803924561,0.0009468652257422407,-0.4000000251531601,2.5798094738731e-09
0.0,-0.4,0.75,0.8124199867248535,0.0009280236536823103,0.8000499725341796,0.0011510927677379564,-0.4000000246465206,3.756747946160367e-09
0.0,-0.4,1.0,0.8126049816608429,0.0008008461075495436,0.7998999774456024,0.001024145530160741,-0.4000000267028809,3.4902522270200635e-09
0.0,-0.2,0.0,0.10239999741315842,0.0,0.09950000047683716,0.0,,
0.0,-0.2,0.25,0.7515199780464172,0.011785122298502405,0.7461999833583832,0.010653742177151242,-0.20000001294910907,2.0866946870266455e-09
0.0,-0.2,0.5,0.8108149826526642,0.0010556951639394668,0.8001899778842926,0.0011589720471497993,-0.20000001408159732,1.3982939917751777e-09
0.0,-0.2,0.75,0.8124199867248535,0.0008982063572882738,0.8000499784946442,0.0011491619887767932,-0.2000000123977661,2.096543900746531e-09
0.0,-0.2,1.0,0.8126049816608429,0.0008008461075495436,0.7998999774456024,0.001024145530160741,-0.20000001275539397,1.5536639111934895e-09
0.0,0.0,0.0,0.09752499684691429,0.018531521396738748,0.09817999675869941,0.02049367469192343,-7.601920515298844e-11,2.2703470152387813e-10
0.0,0.0,0.25,0.8063649773597718,0.0012985163671019647,0.7979899764060974,0.0011229537428457696,-5.056790541857481e-12,2.5656055590966146e-10
0.0,0.0,0.5,0.8110349714756012,0.0009052461191458117,0.8002999722957611,0.0012292718530340651,-6.884511094540357e-11,1.5418264381986395e-10
