,,test_error,test_error,test_error
,,mean,std,count
noise_rate,lambda,,,
0.2,0.0,0.1325,0.0018,3
0.2,0.2,0.0837,0.0021,3
0.2,0.3,0.0823,0.0032,3
0.2,0.4,0.0958,0.002,3
0.2,0.6,0.4343,0.022,3
0.4,0.0,0.2233,0.0045,3
0.4,0.2,0.1181,0.0067,3
0.4,0.3,0.0912,0.001,3
0.4,0.4,0.1041,0.0028,3
0.4,0.6,0.4571,0.0311,3
