seed,lambda,error,branch
2,0.42,0.29200000000000004,collapse_down
2,0.4,0.2865,collapse_down
2,0.38,0.28300000000000003,collapse_down
2,0.36,0.276,collapse_down
2,0.34,0.26480000000000004,collapse_down
2,0.32,0.2629,collapse_down
2,0.3,0.2571,collapse_down
4,0.7,0.46230000000000004,collapse_down
4,0.68,0.43920000000000003,collapse_down
4,0.66,0.42769999999999997,collapse_down
4,0.64,0.42100000000000004,collapse_down
4,0.62,0.40659999999999996,collapse_down
4,0.6,0.3913,collapse_down
4,0.58,0.38170000000000004,collapse_down
4,0.56,0.372,collapse_down
4,0.54,0.3601,collapse_down
4,0.52,0.3589,collapse_down
4,0.5,0.3315,collapse_down
4,0.48,0.3319,collapse_down
4,0.46,0.3133,collapse_down
4,0.44,0.3015,collapse_down
4,0.42,0.30100000000000005,collapse_down
4,0.4,0.2882,collapse_down
4,0.38,0.2814,collapse_down
4,0.36,0.2764,collapse_down
4,0.34,0.26880000000000004,collapse_down
4,0.32,0.27759999999999996,collapse_down
4,0.3,0.2602,collapse_down
